,Age,Gender,Technical Affinity,PreTrust,ExperienceManagement,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,ProactiveTask1,TimeDurationTask1,difficultyTask1,pointsTask1,OptSelectionTask1,HelpTask1,SuggTask1,TrustTask1,ProactiveTask2,TimeDurationTask2,difficultyTask2,pointsTask2,OptSelectionTask2,HelpTask2,SuggTask2,TrustTask2,ProactiveTask3,TimeDurationTask3,difficultyTask3,pointsTask3,OptSelectionTask3,HelpTask3,SuggTask3,TrustTask3,ProactiveTask4,TimeDurationTask4,difficultyTask4,pointsTask4,OptSelectionTask4,HelpTask4,SuggTask4,TrustTask4,ProactiveTask5,TimeDurationTask5,difficultyTask5,pointsTask5,OptSelectionTask5,HelpTask5,SuggTask5,TrustTask5,ProactiveTask6,TimeDurationTask6,difficultyTask6,pointsTask6,OptSelectionTask6,HelpTask6,SuggTask6,TrustTask6,ProactiveTask7,TimeDurationTask7,difficultyTask7,pointsTask7,OptSelectionTask7,HelpTask7,SuggTask7,TrustTask7,ProactiveTask8,TimeDurationTask8,difficultyTask8,pointsTask8,OptSelectionTask8,HelpTask8,SuggTask8,TrustTask8,ProactiveTask9,TimeDurationTask9,difficultyTask9,pointsTask9,OptSelectionTask9,HelpTask9,SuggTask9,TrustTask9,ProactiveTask10,TimeDurationTask10,difficultyTask10,pointsTask10,OptSelectionTask10,HelpTask10,SuggTask10,TrustTask10,ProactiveTask11,TimeDurationTask11,difficultyTask11,pointsTask11,OptSelectionTask11,HelpTask11,SuggTask11,TrustTask11,ProactiveTask12,TimeDurationTask12,difficultyTask12,pointsTask12,OptSelectionTask12,HelpTask12,SuggTask12,TrustTask12,#Acceptance,#Reliability,#Satisfaction,#Competence,#Predictability,#Annoyance
0,56.0,female,4.333333333333333,4.0,3.6666666666666665,2.0,3.0,3.0,4.0,5.0,None,56.0,2,10,1C,0,0,4,None,39.0,3,10,2B,0,1,4,Intervention,37.0,3,10,3E,0,0,4,None,39.0,2,10,4A,0,0,4,Intervention,65.0,4,10,5A,0,0,4,None,136.0,3,30,6E,0,1,4,None,26.0,3,10,7A,0,0,4,Suggestion,42.0,4,20,8B,0,0,4,None,45.0,4,40,9B,0,0,4,None,36.0,2,10,10B,0,1,3,None,29.0,3,0,11C,0,0,3,None,49.0,2,10,12A,0,1,3,4.0,3.75,3.75,3.75,2.25,2.0
0,40.0,male,4.166666666666667,4.0,3.6666666666666665,2.5,4.5,4.5,3.0,2.5,Intervention,38.0,4,10,1A,0,0,4,None,69.0,2,10,2D,0,1,4,None,35.0,2,10,3C,0,1,4,None,29.0,1,10,4A,0,1,4,None,45.0,1,10,5C,0,1,4,Suggestion,70.0,2,20,6D,0,0,4,None,29.0,2,20,7B,0,1,4,None,36.0,2,0,8A,0,1,4,Intervention,39.0,3,20,9A,0,0,4,None,59.0,2,10,10C,0,1,3,None,30.0,2,10,11C,0,1,3,Suggestion,38.0,2,10,12A,0,0,3,3.75,3.75,4.0,3.75,4.0,4.0
0,41.0,male,3.8333333333333335,2.3333333333333335,4.0,3.5,3.5,3.0,2.0,4.5,Intervention,44.0,2,10,1C,0,0,3,None,47.0,3,10,2B,0,1,3,None,22.0,2,10,3E,0,0,3,None,23.0,2,10,4A,0,1,3,None,23.0,3,10,5A,0,1,3,None,27.0,4,30,6E,0,1,3,None,31.0,3,20,7C,0,1,3,None,32.0,4,20,8B,0,1,3,None,76.0,4,40,9B,0,1,3,None,23.0,2,10,10B,0,1,3,Notification,80.0,4,10,11A,0,0,3,None,23.0,2,20,12D,0,1,3,3.0,3.0,3.0,3.25,3.0,2.25
0,28.0,male,3.0,3.0,3.3333333333333335,3.0,3.0,3.0,3.0,3.0,None,21.0,3,10,1C,0,0,1,None,21.0,3,0,2D,0,0,1,Notification,25.0,3,0,3E,0,0,1,Suggestion,23.0,3,0,4C,0,0,3,Intervention,22.0,3,10,5C,0,0,3,None,112.0,3,30,6E,0,0,3,None,21.0,3,10,7C,0,0,3,Suggestion,26.0,3,20,8C,0,0,3,None,23.0,3,30,9D,0,0,3,None,22.0,3,10,10A,0,0,3,Suggestion,21.0,3,10,11A,0,0,3,None,23.0,3,0,12D,0,0,3,3.0,3.0,3.0,3.25,3.0,3.0
0,22.0,male,4.5,4.0,3.0,2.0,5.0,3.5,3.0,5.0,Notification,43.0,4,10,1C,0,0,4,None,34.0,4,10,2B,0,1,4,None,29.0,2,10,3E,0,1,4,None,42.0,2,10,4A,0,0,4,None,29.0,3,10,5A,0,0,4,None,53.0,2,20,6B,0,0,4,None,41.0,4,20,7C,0,1,4,None,31.0,2,20,8B,0,1,4,None,26.0,1,40,9B,0,0,4,None,22.0,2,10,10B,0,1,4,None,22.0,3,10,11A,0,1,4,None,30.0,3,20,12D,0,1,4,4.25,4.0,4.0,4.0,3.25,2.5
0,29.0,female,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.5,3.0,4.0,3.5,3.0,None,27.0,3,10,1B,0,0,4,Notification,101.0,4,10,2C,0,0,4,None,421.0,3,0,3C,0,0,4,Suggestion,191.0,3,10,4C,0,0,3,Suggestion,49.0,4,10,5C,0,0,3,None,35.0,3,0,6C,0,0,3,None,27.0,3,20,7B,0,0,3,None,28.0,4,20,8C,0,0,3,Suggestion,35.0,3,30,9D,0,0,3,Notification,24.0,3,10,10B,0,0,3,None,48.0,2,0,11B,0,0,3,None,46.0,3,10,12C,0,0,3,2.5,3.0,2.75,3.25,3.0,2.75
0,54.0,male,4.666666666666667,2.8333333333333335,1.6666666666666667,2.0,4.0,5.0,2.5,3.0,None,162.0,1,10,1C,0,0,3,None,50.0,4,0,2C,0,1,3,Suggestion,27.0,2,10,3D,0,0,3,Intervention,44.0,1,10,4C,0,0,4,None,38.0,2,10,5C,0,1,4,None,63.0,4,0,6B,0,1,4,None,26.0,2,20,7A,0,1,4,None,37.0,3,20,8C,0,1,4,Suggestion,34.0,1,30,9A,0,0,4,None,54.0,4,10,10A,0,1,3,None,43.0,4,0,11D,0,1,3,Notification,43.0,4,0,12A,0,1,3,3.25,3.5,3.25,3.5,3.0,1.75
0,26.0,male,4.666666666666667,3.1666666666666665,4.0,2.0,4.5,3.5,2.5,3.5,None,54.0,1,10,1B,1,1,3,Suggestion,26.0,2,10,2C,1,0,3,None,41.0,4,0,3E,1,1,3,None,24.0,2,10,4C,1,1,5,None,33.0,2,10,5C,1,1,5,None,23.0,2,20,6B,0,1,5,None,25.0,2,20,7A,0,1,4,Suggestion,32.0,4,20,8C,0,0,4,None,42.0,4,30,9A,1,1,4,Suggestion,52.0,2,10,10A,1,0,4,None,28.0,2,10,11A,0,1,4,None,32.0,3,0,12A,0,1,4,3.5,4.0,3.75,4.5,3.0,1.25
0,20.0,male,4.333333333333333,3.6666666666666665,4.0,1.5,2.5,4.5,3.5,3.5,None,34.0,1,10,1C,0,1,4,Suggestion,38.0,2,10,2A,0,0,4,None,36.0,2,0,3B,0,1,4,None,31.0,2,10,4B,0,1,4,None,40.0,4,0,5A,0,1,4,None,27.0,5,20,6D,0,1,4,None,34.0,4,10,7B,0,1,4,None,23.0,3,20,8B,0,1,4,Notification,32.0,4,10,9E,0,0,4,Intervention,27.0,2,10,10A,0,0,3,None,25.0,3,10,11B,0,1,3,Intervention,25.0,2,10,12A,0,0,3,3.75,4.25,3.25,4.25,3.5,2.0
0,36.0,male,4.0,2.0,1.6666666666666667,3.0,1.0,2.0,4.5,3.0,None,126.0,2,10,1C,0,1,3,Suggestion,109.0,2,10,2A,0,0,3,None,63.0,3,10,3E,0,1,3,Intervention,51.0,3,10,4B,0,0,4,None,123.0,4,10,5B,1,1,4,None,118.0,4,20,6B,1,1,4,Intervention,51.0,4,20,7B,0,0,4,Suggestion,48.0,4,20,8A,0,0,4,None,152.0,4,0,9E,0,1,4,None,32.0,2,0,10C,0,0,3,None,34.0,2,0,11C,0,0,3,None,40.0,3,20,12A,0,1,3,3.25,3.25,3.25,3.75,2.75,2.25
