,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
0,only_none,534.0,160,2,6,3.75,4
1,only_none,476.0,180,1,9,2.8333333333333335,4
2,only_none,483.0,120,2,8,3.0833333333333335,4
3,only_none,536.0,170,0,7,3.75,4
4,only_none,482.0,160,0,9,2.9166666666666665,3
5,only_none,428.0,150,0,6,4.083333333333333,4
6,only_none,407.0,100,1,8,3.5833333333333335,3
7,only_none,483.0,160,1,10,3.5833333333333335,3
8,only_none,559.0,120,2,6,3.25,3
9,only_none,456.0,160,1,10,3.75,4
10,only_none,516.0,160,2,8,2.9166666666666665,3
11,only_none,492.0,170,2,9,3.25,4
12,only_none,475.0,160,1,8,3.5,4
13,only_none,569.0,110,1,4,3.3333333333333335,4
14,only_none,454.0,170,1,8,3.5,4
15,only_none,452.0,160,1,8,3.1666666666666665,3
16,only_none,527.0,140,0,7,2.5,3
17,only_none,564.0,160,1,8,3.5,4
18,only_none,544.0,150,0,8,2.9166666666666665,3
19,only_none,539.0,100,0,8,3.0,4
20,only_none,433.0,150,2,5,3.0833333333333335,3
21,only_none,387.0,180,0,7,3.1666666666666665,3
22,only_none,438.0,180,0,8,2.9166666666666665,3
23,only_none,399.0,160,1,8,3.9166666666666665,4
24,only_none,484.0,150,0,6,3.75,4
25,only_none,523.0,120,3,4,2.6666666666666665,3
26,only_none,519.0,200,3,8,3.75,4
27,only_none,451.0,110,1,10,3.0833333333333335,3
28,only_none,542.0,150,1,7,3.9166666666666665,4
29,only_none,523.0,150,2,8,3.0833333333333335,3
30,only_none,600.0,120,2,10,2.1666666666666665,2
31,only_none,513.0,150,0,8,3.4166666666666665,3
32,only_none,511.0,150,0,6,3.3333333333333335,3
33,only_none,512.0,150,0,10,2.6666666666666665,2
34,only_none,404.0,170,0,9,3.5833333333333335,4
35,only_none,504.0,190,3,6,3.0,3
36,only_none,413.0,120,2,10,2.9166666666666665,2
37,only_none,422.0,130,0,11,2.9166666666666665,4
38,only_none,476.0,130,2,7,2.8333333333333335,3
39,only_none,417.0,170,0,9,3.9166666666666665,4
40,only_none,472.0,150,1,4,2.75,2
41,only_none,424.0,130,0,7,3.5,3
42,only_none,447.0,140,1,8,3.5,4
43,only_none,713.0,160,0,8,2.75,3
44,only_none,448.0,120,0,8,3.5833333333333335,4
45,only_none,567.0,90,1,6,2.5,2
46,only_none,660.0,150,0,6,3.5,2
47,only_none,428.0,130,1,6,3.3333333333333335,3
48,only_none,504.0,140,3,9,3.0,3
49,only_none,464.0,150,1,7,2.5833333333333335,2
50,only_none,420.0,170,1,8,2.8333333333333335,3
51,only_none,485.0,160,0,8,3.0,3
52,only_none,423.0,140,0,6,2.5,3
53,only_none,497.0,160,2,7,3.1666666666666665,4
54,only_none,636.0,170,1,5,3.5833333333333335,3
55,only_none,448.0,130,1,10,3.5833333333333335,4
56,only_none,515.0,140,1,5,3.0833333333333335,3
57,only_none,442.0,160,1,6,3.6666666666666665,4
58,only_none,440.0,110,2,10,2.4166666666666665,4
59,only_none,572.0,120,0,8,2.8333333333333335,3
60,only_none,443.0,130,0,7,2.9166666666666665,3
61,only_none,562.0,200,0,9,3.75,4
62,only_none,443.0,170,0,8,3.1666666666666665,4
63,only_none,541.0,150,1,7,2.3333333333333335,2
64,only_none,493.0,150,0,9,3.6666666666666665,4
65,only_none,489.0,160,1,7,4.166666666666667,4
66,only_none,488.0,170,1,9,3.5833333333333335,4
67,only_none,578.0,120,1,8,2.75,4
68,only_none,449.0,170,1,9,3.5,3
69,only_none,477.0,160,0,10,3.3333333333333335,4
70,only_none,446.0,140,1,6,3.25,3
71,only_none,418.0,150,1,7,4.083333333333333,4
72,only_none,651.0,130,1,5,2.9166666666666665,3
73,only_none,482.0,180,0,7,3.3333333333333335,4
74,only_none,509.0,130,0,8,2.8333333333333335,3
75,only_none,564.0,150,0,3,3.0,3
76,only_none,711.0,150,0,8,3.0833333333333335,3
77,only_none,588.0,160,3,8,2.9166666666666665,3
78,only_none,641.0,160,1,6,3.0833333333333335,4
79,only_none,707.0,160,0,9,3.0833333333333335,3
80,only_none,561.0,160,1,10,3.4166666666666665,4
81,only_none,454.0,160,1,9,3.1666666666666665,4
82,only_none,537.0,140,0,6,3.5,4
83,only_none,416.0,150,1,6,3.0,3
84,only_none,537.0,110,0,8,3.8333333333333335,4
85,only_none,484.0,130,2,6,3.0,3
86,only_none,490.0,140,1,5,3.3333333333333335,4
87,only_none,485.0,140,3,9,3.4166666666666665,4
88,only_none,466.0,150,0,6,3.5833333333333335,4
89,only_none,565.0,140,0,6,2.75,3
90,only_none,442.0,160,1,6,3.1666666666666665,3
91,only_none,518.0,170,1,7,2.75,3
92,only_none,525.0,150,0,6,3.5833333333333335,3
93,only_none,495.0,160,0,7,3.0,3
94,only_none,404.0,130,1,5,3.9166666666666665,4
95,only_none,468.0,150,0,7,3.1666666666666665,3
96,only_none,441.0,160,1,6,2.25,2
97,only_none,521.0,150,1,8,3.0,3
98,only_none,427.0,120,1,7,2.5,2
99,only_none,458.0,160,1,7,3.0833333333333335,3
100,only_none,530.0,150,2,5,3.0,3
101,only_none,432.0,150,1,10,4.0,4
102,only_none,511.0,160,1,9,3.75,4
103,only_none,494.0,150,1,8,2.6666666666666665,2
104,only_none,487.0,190,1,8,2.75,4
105,only_none,381.0,160,2,8,3.8333333333333335,3
106,only_none,536.0,150,2,8,2.0833333333333335,2
107,only_none,568.0,130,0,11,2.9166666666666665,2
108,only_none,691.0,160,2,6,3.4166666666666665,4
109,only_none,454.0,170,0,9,4.166666666666667,4
110,only_none,437.0,190,1,8,2.6666666666666665,2
111,only_none,362.0,180,3,7,3.6666666666666665,4
112,only_none,523.0,180,2,9,3.25,3
113,only_none,519.0,180,1,9,3.5833333333333335,4
114,only_none,517.0,140,2,8,3.5,3
115,only_none,506.0,130,0,8,2.5,3
116,only_none,385.0,150,1,8,3.0833333333333335,3
117,only_none,393.0,170,0,6,3.5,4
118,only_none,395.0,170,0,12,3.6666666666666665,3
119,only_none,500.0,150,0,7,3.0,3
120,only_none,462.0,90,0,9,3.1666666666666665,4
121,only_none,558.0,150,0,7,3.0,3
122,only_none,552.0,160,1,10,3.3333333333333335,4
123,only_none,463.0,130,1,9,3.25,3
124,only_none,560.0,160,0,4,3.3333333333333335,2
