,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
0,Strategy_machine_learning,414.0,170,1,4,3.5833333333333335,4
1,Strategy_machine_learning,408.0,170,1,3,3.3333333333333335,4
2,Strategy_machine_learning,476.0,170,0,2,2.0833333333333335,2
3,Strategy_machine_learning,497.0,160,1,5,2.0833333333333335,2
4,Strategy_machine_learning,503.0,160,2,3,2.4166666666666665,2
5,Strategy_machine_learning,509.0,170,1,4,2.1666666666666665,2
6,Strategy_machine_learning,413.0,190,1,3,2.0,2
7,Strategy_machine_learning,467.0,190,1,2,3.1666666666666665,4
8,Strategy_machine_learning,479.0,180,1,4,2.6666666666666665,3
9,Strategy_machine_learning,428.0,160,1,2,4.083333333333333,5
10,Strategy_machine_learning,437.0,160,1,3,2.75,2
11,Strategy_machine_learning,525.0,190,0,5,2.0,2
12,Strategy_machine_learning,399.0,180,1,3,2.75,3
13,Strategy_machine_learning,468.0,170,0,5,4.416666666666667,4
14,Strategy_machine_learning,542.0,170,0,2,3.8333333333333335,4
15,Strategy_machine_learning,440.0,180,0,4,2.3333333333333335,2
16,Strategy_machine_learning,507.0,170,1,5,2.6666666666666665,3
17,Strategy_machine_learning,438.0,160,0,3,3.75,4
18,Strategy_machine_learning,418.0,160,0,4,2.25,2
19,Strategy_machine_learning,545.0,170,1,2,2.0,2
20,Strategy_machine_learning,449.0,190,0,5,3.0,4
21,Strategy_machine_learning,440.0,170,2,3,3.0,4
22,Strategy_machine_learning,385.0,160,0,3,2.6666666666666665,2
23,Strategy_machine_learning,485.0,180,0,4,2.4166666666666665,3
24,Strategy_machine_learning,459.0,180,0,4,2.0833333333333335,2
25,Strategy_machine_learning,463.0,190,1,5,3.0833333333333335,3
26,Strategy_machine_learning,423.0,160,0,4,2.0833333333333335,2
27,Strategy_machine_learning,400.0,180,0,3,3.25,4
28,Strategy_machine_learning,475.0,160,0,3,3.0,2
29,Strategy_machine_learning,428.0,180,0,4,3.25,2
30,Strategy_machine_learning,513.0,170,0,4,2.8333333333333335,3
31,Strategy_machine_learning,381.0,190,0,4,3.4166666666666665,4
32,Strategy_machine_learning,557.0,160,0,3,2.0833333333333335,2
33,Strategy_machine_learning,450.0,160,0,1,3.5,4
34,Strategy_machine_learning,457.0,180,0,4,3.5,3
35,Strategy_machine_learning,422.0,170,0,2,2.8333333333333335,2
36,Strategy_machine_learning,472.0,200,2,3,3.8333333333333335,4
37,Strategy_machine_learning,480.0,160,0,3,2.4166666666666665,2
38,Strategy_machine_learning,525.0,170,0,4,2.0,2
39,Strategy_machine_learning,432.0,180,0,1,3.0833333333333335,3
40,Strategy_machine_learning,492.0,180,1,2,2.3333333333333335,2
41,Strategy_machine_learning,443.0,180,2,3,3.0833333333333335,4
42,Strategy_machine_learning,401.0,150,0,4,3.9166666666666665,4
43,Strategy_machine_learning,447.0,180,0,5,2.8333333333333335,4
44,Strategy_machine_learning,371.0,160,0,3,4.083333333333333,5
45,Strategy_machine_learning,430.0,170,0,2,3.75,4
