,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
0,Strategy_machine_learning,451.0,200,1,1,2.25,2
1,Strategy_machine_learning,434.0,160,1,2,4.25,4
2,Strategy_machine_learning,481.0,180,0,1,2.75,2
3,Strategy_machine_learning,365.0,140,0,2,3.75,4
4,Strategy_machine_learning,402.0,170,0,1,4.083333333333333,4
5,Strategy_machine_learning,457.0,180,1,2,3.0833333333333335,3
6,Strategy_machine_learning,376.0,160,0,3,2.8333333333333335,2
7,Strategy_machine_learning,489.0,160,1,2,2.8333333333333335,3
8,Strategy_machine_learning,460.0,180,0,1,3.1666666666666665,4
9,Strategy_machine_learning,553.0,160,0,3,2.6666666666666665,2
10,Strategy_machine_learning,421.0,200,0,2,4.0,4
11,Strategy_machine_learning,419.0,190,0,3,2.9166666666666665,3
12,Strategy_machine_learning,422.0,170,2,1,4.0,4
13,Strategy_machine_learning,434.0,200,0,1,3.1666666666666665,2
14,Strategy_machine_learning,429.0,180,2,2,2.0833333333333335,2
15,Strategy_machine_learning,482.0,150,2,1,2.3333333333333335,2
16,Strategy_machine_learning,407.0,190,1,3,2.6666666666666665,2
17,Strategy_machine_learning,404.0,180,0,2,2.75,2
18,Strategy_machine_learning,429.0,170,0,3,3.1666666666666665,3
19,Strategy_machine_learning,384.0,170,0,2,3.9166666666666665,4
20,Strategy_machine_learning,451.0,190,0,2,3.0,3
21,Strategy_machine_learning,477.0,180,0,2,3.0,2
22,Strategy_machine_learning,422.0,190,0,3,2.6666666666666665,2
23,Strategy_machine_learning,426.0,190,0,2,2.3333333333333335,2
24,Strategy_machine_learning,494.0,180,0,2,3.0,4
25,Strategy_machine_learning,425.0,160,0,1,2.0833333333333335,2
26,Strategy_machine_learning,468.0,170,0,3,2.8333333333333335,3
27,Strategy_machine_learning,390.0,180,1,2,3.9166666666666665,4
28,Strategy_machine_learning,408.0,140,0,1,2.8333333333333335,2
29,Strategy_machine_learning,425.0,190,0,2,2.3333333333333335,2
30,Strategy_machine_learning,420.0,160,0,3,2.5,2
31,Strategy_machine_learning,374.0,170,0,1,3.8333333333333335,4
32,Strategy_machine_learning,486.0,180,0,1,2.9166666666666665,3
33,Strategy_machine_learning,409.0,180,1,2,3.3333333333333335,2
34,Strategy_machine_learning,504.0,170,0,2,2.4166666666666665,2
35,Strategy_machine_learning,400.0,170,0,2,3.9166666666666665,3
36,Strategy_machine_learning,440.0,180,1,3,3.3333333333333335,2
37,Strategy_machine_learning,446.0,190,0,3,2.5,2
38,Strategy_machine_learning,410.0,130,0,1,2.0833333333333335,2
