,age,gender,technical affinity,management experience,preTrust,neuroticism,extraversion,openness,agreeableness,conscientiousness,proactivity_strategy,pers_code,step_number1,proactivity1,helpRequest1,suggestionRequest1,duration1,difficulty1,points1,trust1,step_number2,proactivity2,helpRequest2,suggestionRequest2,duration2,difficulty2,points2,trust2,step_number3,proactivity3,helpRequest3,suggestionRequest3,duration3,difficulty3,points3,trust3,step_number4,proactivity4,helpRequest4,suggestionRequest4,duration4,difficulty4,points4,trust4,step_number5,proactivity5,helpRequest5,suggestionRequest5,duration5,difficulty5,points5,trust5,step_number6,proactivity6,helpRequest6,suggestionRequest6,duration6,difficulty6,points6,trust6,step_number7,proactivity7,helpRequest7,suggestionRequest7,duration7,difficulty7,points7,trust7,step_number8,proactivity8,helpRequest8,suggestionRequest8,duration8,difficulty8,points8,trust8,step_number9,proactivity9,helpRequest9,suggestionRequest9,duration9,difficulty9,points9,trust9,step_number10,proactivity10,helpRequest10,suggestionRequest10,duration10,difficulty10,points10,trust10,step_number11,proactivity11,helpRequest11,suggestionRequest11,duration11,difficulty11,points11,trust11,step_number12,proactivity12,helpRequest12,suggestionRequest12,duration12,difficulty12,points12,trust12,#duration,#points
0,55.0,male,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,only_none,011,1,none,1,1,32.0,2.0,10,2,2,none,0,1,25.0,2.0,10,2,3,none,0,1,46.0,4.0,10,2,4,none,0,1,34.0,3.0,0,2,5,none,0,1,58.0,3.0,10,2,6,none,0,1,41.0,1.0,20,2,7,none,0,1,27.0,3.0,20,4,8,none,0,0,45.0,2.0,20,2,9,none,0,1,28.0,1.0,30,4,10,none,0,1,22.0,3.0,10,2,11,none,0,1,25.0,2.0,10,2,12,none,0,1,27.0,4.0,20,4,410.0,170
1,33.0,male,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,only_none,001,1,none,0,1,82.0,3.0,10,2,2,none,0,1,74.0,2.0,10,2,3,none,0,1,64.0,3.0,10,2,4,none,0,1,28.0,2.0,10,2,5,none,0,1,20.0,4.0,10,2,6,none,0,1,54.0,5.0,20,4,7,none,0,1,36.0,2.0,20,4,8,none,0,0,38.0,4.0,10,2,9,none,0,1,20.0,2.0,30,3,10,none,0,1,40.0,4.0,10,2,11,none,0,1,43.0,4.0,0,2,12,none,0,1,37.0,3.0,20,4,536.0,160
2,28.0,female,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,only_none,011,1,none,0,1,50.0,3.0,10,3,2,none,0,1,20.0,5.0,10,4,3,none,0,1,38.0,3.0,10,4,4,none,0,1,38.0,2.0,0,3,5,none,0,0,46.0,2.0,10,3,6,none,0,0,37.0,3.0,10,3,7,none,0,1,31.0,4.0,20,4,8,none,0,1,50.0,2.0,20,4,9,none,0,1,21.0,4.0,40,4,10,none,0,1,36.0,5.0,10,4,11,none,0,0,23.0,2.0,0,3,12,none,0,1,30.0,2.0,10,3,420.0,150
3,52.0,female,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,only_none,000,1,none,0,1,137.0,1.0,10,3,2,none,0,0,25.0,1.0,10,3,3,none,0,0,70.0,1.0,0,2,4,none,0,1,60.0,3.0,0,3,5,none,1,0,57.0,4.0,10,2,6,none,0,1,56.0,1.0,20,3,7,none,0,0,52.0,2.0,20,3,8,none,0,1,40.0,2.0,0,3,9,none,0,1,45.0,3.0,30,3,10,none,0,0,40.0,2.0,10,3,11,none,0,1,44.0,3.0,10,3,12,none,0,1,24.0,2.0,20,3,650.0,140
4,46.0,male,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,only_none,011,1,none,0,0,25.0,2.0,10,4,2,none,0,1,83.0,3.0,10,4,3,none,0,1,70.0,2.0,10,3,4,none,0,1,20.0,2.0,10,4,5,none,0,1,32.0,5.0,10,4,6,none,0,1,65.0,4.0,20,4,7,none,0,1,26.0,3.0,20,4,8,none,0,1,46.0,4.0,20,4,9,none,0,1,31.0,2.0,30,4,10,none,0,1,24.0,3.0,10,4,11,none,0,1,49.0,3.0,10,4,12,none,0,1,37.0,3.0,20,4,508.0,180
5,45.0,other,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,only_none,011,1,none,0,1,40.0,2.0,10,4,2,none,0,0,62.0,2.0,0,2,3,none,0,0,63.0,3.0,10,2,4,none,0,1,36.0,2.0,0,2,5,none,0,0,34.0,3.0,0,3,6,none,0,0,34.0,5.0,10,3,7,none,0,1,28.0,3.0,20,4,8,none,0,1,43.0,5.0,20,5,9,none,0,1,27.0,3.0,30,5,10,none,0,1,24.0,2.0,10,4,11,none,0,1,51.0,4.0,0,4,12,none,0,1,29.0,2.0,20,4,471.0,130
6,46.0,male,4.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,only_none,101,1,none,0,0,58.0,3.0,10,3,2,none,0,1,27.0,4.0,10,4,3,none,0,1,32.0,3.0,0,3,4,none,0,1,101.0,3.0,0,3,5,none,0,1,24.0,3.0,10,3,6,none,0,0,43.0,2.0,10,3,7,none,0,1,63.0,3.0,20,4,8,none,0,1,34.0,2.0,20,4,9,none,0,1,31.0,2.0,30,4,10,none,0,1,28.0,2.0,10,3,11,none,0,1,22.0,2.0,10,3,12,none,0,0,46.0,1.0,10,3,509.0,140
7,24.0,male,4.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,only_none,011,1,none,0,0,63.0,2.0,10,3,2,none,0,1,43.0,3.0,10,2,3,none,0,0,58.0,3.0,0,2,4,none,0,1,38.0,2.0,10,2,5,none,0,1,57.0,1.0,10,2,6,none,0,1,51.0,3.0,20,2,7,none,0,1,31.0,3.0,20,4,8,none,0,1,43.0,2.0,0,2,9,none,0,1,34.0,4.0,40,4,10,none,0,1,28.0,1.0,10,2,11,none,0,1,51.0,1.0,10,2,12,none,0,1,31.0,3.0,20,2,528.0,160
8,50.0,male,3.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,only_none,000,1,none,0,0,54.0,1.0,10,2,2,none,0,1,23.0,3.0,10,2,3,none,0,1,60.0,3.0,10,2,4,none,0,1,47.0,1.0,10,2,5,none,0,1,28.0,4.0,10,2,6,none,0,0,49.0,3.0,20,2,7,none,0,1,62.0,2.0,20,2,8,none,0,0,20.0,2.0,0,2,9,none,0,0,42.0,3.0,30,2,10,none,1,0,28.0,3.0,10,2,11,none,0,1,51.0,2.0,10,2,12,none,0,0,41.0,2.0,10,2,505.0,150
9,43.0,female,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,only_none,001,1,none,0,0,114.0,2.0,10,3,2,none,0,1,63.0,4.0,10,2,3,none,0,1,50.0,4.0,10,2,4,none,0,1,51.0,5.0,10,2,5,none,0,1,41.0,3.0,10,3,6,none,0,1,39.0,3.0,10,3,7,none,0,0,38.0,4.0,20,3,8,none,0,1,31.0,2.0,20,3,9,none,0,1,27.0,1.0,30,3,10,none,0,1,32.0,2.0,10,3,11,none,0,1,41.0,2.0,10,3,12,none,0,1,23.0,2.0,20,3,550.0,170
10,29.0,male,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,only_none,110,1,none,0,0,81.0,2.0,10,4,2,none,0,1,22.0,4.0,10,4,3,none,0,0,27.0,2.0,10,4,4,none,0,0,26.0,2.0,0,3,5,none,0,1,33.0,2.0,10,2,6,none,0,1,41.0,3.0,20,4,7,none,0,1,48.0,3.0,10,4,8,none,0,1,41.0,2.0,10,2,9,none,0,1,27.0,5.0,30,4,10,none,0,1,31.0,2.0,10,4,11,none,0,1,56.0,3.0,10,4,12,none,0,1,41.0,3.0,20,4,474.0,150
11,53.0,male,5.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,only_none,001,1,none,1,0,51.0,3.0,10,2,2,none,0,1,30.0,3.0,10,3,3,none,0,0,45.0,2.0,10,3,4,none,0,1,55.0,3.0,10,3,5,none,0,0,32.0,3.0,0,3,6,none,0,0,67.0,4.0,20,3,7,none,0,0,26.0,4.0,0,3,8,none,0,0,30.0,3.0,0,3,9,none,0,0,36.0,3.0,20,3,10,none,0,1,20.0,1.0,10,3,11,none,1,0,35.0,4.0,10,3,12,none,0,0,36.0,3.0,10,3,463.0,110
12,22.0,male,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,only_none,100,1,none,0,0,41.0,2.0,10,3,2,none,0,1,35.0,2.0,10,2,3,none,0,0,62.0,4.0,10,2,4,none,0,1,81.0,4.0,10,2,5,none,0,1,32.0,4.0,10,2,6,none,0,1,45.0,4.0,30,4,7,none,0,1,29.0,2.0,20,2,8,none,0,0,30.0,2.0,10,2,9,none,0,1,52.0,3.0,30,2,10,none,0,0,24.0,3.0,10,2,11,none,0,1,40.0,2.0,10,2,12,none,0,1,30.0,4.0,10,2,501.0,170
13,39.0,male,4.0,2.0,5.0,1.0,2.0,3.0,3.0,4.0,only_none,011,1,none,0,1,35.0,3.0,10,4,2,none,0,1,21.0,3.0,10,4,3,none,0,0,37.0,4.0,10,4,4,none,0,1,28.0,3.0,0,4,5,none,0,1,32.0,3.0,0,4,6,none,0,1,103.0,2.0,20,4,7,none,0,1,25.0,3.0,30,4,8,none,0,1,46.0,3.0,0,4,9,none,0,1,26.0,1.0,20,4,10,none,0,1,31.0,5.0,10,4,11,none,0,1,22.0,3.0,10,4,12,none,0,1,28.0,4.0,20,4,434.0,140
14,34.0,female,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,only_none,011,1,none,1,0,31.0,3.0,10,4,2,none,0,1,32.0,3.0,10,4,3,none,0,0,83.0,2.0,0,3,4,none,0,1,29.0,1.0,0,3,5,none,0,0,32.0,3.0,10,3,6,none,0,1,46.0,1.0,30,4,7,none,0,0,32.0,5.0,20,4,8,none,0,1,27.0,3.0,20,4,9,none,0,1,30.0,3.0,40,4,10,none,0,1,25.0,2.0,10,4,11,none,0,1,44.0,2.0,10,3,12,none,0,1,22.0,2.0,0,3,433.0,160
15,40.0,male,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,only_none,001,1,none,0,0,45.0,4.0,10,3,2,none,0,1,22.0,1.0,10,3,3,none,0,1,41.0,2.0,10,3,4,none,0,0,34.0,2.0,10,3,5,none,1,0,35.0,1.0,0,3,6,none,0,0,20.0,2.0,20,3,7,none,0,0,38.0,1.0,0,3,8,none,0,0,58.0,3.0,20,3,9,none,0,1,29.0,3.0,40,4,10,none,1,0,29.0,3.0,10,3,11,none,0,1,47.0,2.0,0,3,12,none,0,1,33.0,3.0,20,3,431.0,150
16,31.0,male,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,only_none,111,1,none,0,0,61.0,1.0,10,4,2,none,0,1,25.0,3.0,10,4,3,none,0,0,43.0,2.0,0,3,4,none,0,1,29.0,1.0,10,2,5,none,0,1,27.0,3.0,10,4,6,none,0,1,80.0,2.0,20,4,7,none,0,1,30.0,2.0,20,4,8,none,0,0,32.0,3.0,0,4,9,none,0,1,54.0,4.0,40,4,10,none,0,1,46.0,3.0,10,4,11,none,0,0,33.0,1.0,10,4,12,none,0,1,134.0,1.0,10,2,594.0,150
17,19.0,male,4.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,only_none,001,1,none,0,1,81.0,2.0,10,2,2,none,0,1,21.0,2.0,10,2,3,none,0,1,28.0,3.0,10,2,4,none,0,0,55.0,3.0,10,2,5,none,1,1,43.0,5.0,0,2,6,none,0,1,75.0,3.0,30,4,7,none,0,0,45.0,2.0,20,2,8,none,0,1,25.0,4.0,10,2,9,none,0,1,33.0,1.0,30,2,10,none,0,1,21.0,5.0,10,2,11,none,0,1,50.0,4.0,0,2,12,none,0,1,39.0,3.0,20,4,516.0,160
18,27.0,male,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,only_none,100,1,none,0,1,50.0,2.0,10,4,2,none,0,1,43.0,3.0,10,2,3,none,0,1,144.0,3.0,10,2,4,none,1,1,70.0,3.0,0,2,5,none,0,1,28.0,4.0,10,2,6,none,0,1,85.0,4.0,20,4,7,none,0,0,37.0,4.0,20,4,8,none,0,0,28.0,3.0,20,4,9,none,1,1,32.0,3.0,30,4,10,none,0,1,36.0,2.0,0,2,11,none,0,0,35.0,3.0,0,2,12,none,0,1,31.0,4.0,20,4,619.0,150
19,50.0,female,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,only_none,100,1,none,0,0,107.0,1.0,10,3,2,none,0,0,46.0,4.0,10,3,3,none,0,0,153.0,1.0,0,2,4,none,0,1,56.0,4.0,10,3,5,none,0,1,37.0,3.0,10,3,6,none,1,1,24.0,2.0,10,2,7,none,0,0,38.0,3.0,0,3,8,none,0,1,46.0,3.0,20,3,9,none,0,1,22.0,2.0,30,4,10,none,0,1,23.0,3.0,10,3,11,none,0,1,27.0,1.0,0,3,12,none,0,0,41.0,2.0,10,3,620.0,120
20,41.0,female,4.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,only_none,001,1,none,0,0,112.0,3.0,10,3,2,none,0,1,20.0,3.0,10,3,3,none,0,1,66.0,1.0,10,2,4,none,1,0,29.0,4.0,10,2,5,none,0,1,34.0,3.0,10,3,6,none,0,1,69.0,2.0,30,4,7,none,0,0,29.0,3.0,0,3,8,none,0,0,38.0,3.0,20,3,9,none,0,1,30.0,3.0,30,4,10,none,0,0,25.0,1.0,10,3,11,none,0,1,24.0,5.0,0,2,12,none,0,0,38.0,3.0,10,3,514.0,150
