,age,gender,technical affinity,management experience,preTrust,neuroticism,extraversion,openness,agreeableness,conscientiousness,proactivity_strategy,pers_code,step_number1,proactivity1,helpRequest1,suggestionRequest1,duration1,difficulty1,points1,trust1,step_number2,proactivity2,helpRequest2,suggestionRequest2,duration2,difficulty2,points2,trust2,step_number3,proactivity3,helpRequest3,suggestionRequest3,duration3,difficulty3,points3,trust3,step_number4,proactivity4,helpRequest4,suggestionRequest4,duration4,difficulty4,points4,trust4,step_number5,proactivity5,helpRequest5,suggestionRequest5,duration5,difficulty5,points5,trust5,step_number6,proactivity6,helpRequest6,suggestionRequest6,duration6,difficulty6,points6,trust6,step_number7,proactivity7,helpRequest7,suggestionRequest7,duration7,difficulty7,points7,trust7,step_number8,proactivity8,helpRequest8,suggestionRequest8,duration8,difficulty8,points8,trust8,step_number9,proactivity9,helpRequest9,suggestionRequest9,duration9,difficulty9,points9,trust9,step_number10,proactivity10,helpRequest10,suggestionRequest10,duration10,difficulty10,points10,trust10,step_number11,proactivity11,helpRequest11,suggestionRequest11,duration11,difficulty11,points11,trust11,step_number12,proactivity12,helpRequest12,suggestionRequest12,duration12,difficulty12,points12,trust12,#duration,#points
0,47.0,male,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,only_none,000,1,none,0,0,124.0,2.0,10,3,2,none,0,1,62.0,3.0,10,2,3,none,0,0,48.0,2.0,0,2,4,none,0,1,31.0,4.0,10,2,5,none,0,0,41.0,3.0,10,3,6,none,0,1,71.0,3.0,20,3,7,none,1,0,99.0,3.0,20,2,8,none,0,1,32.0,4.0,20,2,9,none,0,1,30.0,1.0,30,2,10,none,1,1,21.0,3.0,0,2,11,none,0,1,45.0,3.0,10,3,12,none,0,1,24.0,2.0,0,3,628.0,140
1,32.0,male,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,only_none,011,1,none,0,1,40.0,2.0,10,4,2,none,0,0,40.0,2.0,10,3,3,none,0,1,27.0,3.0,10,4,4,none,0,0,40.0,2.0,10,3,5,none,0,0,60.0,3.0,10,3,6,none,0,1,64.0,2.0,30,4,7,none,1,1,33.0,2.0,10,4,8,none,0,1,31.0,3.0,10,4,9,none,0,0,26.0,5.0,40,4,10,none,0,1,22.0,3.0,10,4,11,none,0,0,44.0,2.0,10,4,12,none,0,1,32.0,2.0,20,4,459.0,180
2,31.0,male,5.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,only_none,111,1,none,0,1,93.0,1.0,10,4,2,none,0,0,33.0,2.0,0,4,3,none,1,0,46.0,4.0,10,4,4,none,0,0,86.0,2.0,10,4,5,none,0,0,27.0,2.0,0,4,6,none,0,1,54.0,4.0,30,4,7,none,0,1,42.0,3.0,20,4,8,none,0,0,33.0,2.0,10,4,9,none,0,1,32.0,2.0,30,4,10,none,0,1,41.0,4.0,10,4,11,none,0,1,46.0,3.0,10,4,12,none,0,1,47.0,4.0,20,4,580.0,160
3,44.0,female,5.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,only_none,101,1,none,0,0,71.0,3.0,10,3,2,none,0,1,28.0,2.0,0,3,3,none,0,1,42.0,4.0,10,3,4,none,0,0,24.0,3.0,0,3,5,none,0,1,29.0,4.0,10,3,6,none,0,0,81.0,3.0,20,3,7,none,0,0,37.0,4.0,30,4,8,none,0,1,42.0,1.0,10,3,9,none,0,0,45.0,3.0,30,4,10,none,0,0,25.0,3.0,10,3,11,none,0,1,25.0,1.0,10,3,12,none,0,1,30.0,2.0,10,3,479.0,150
4,34.0,male,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,only_none,000,1,none,0,0,74.0,2.0,10,3,2,none,0,0,47.0,2.0,10,3,3,none,0,0,112.0,3.0,10,3,4,none,0,1,50.0,3.0,0,3,5,none,0,1,22.0,1.0,10,3,6,none,0,0,81.0,3.0,20,3,7,none,0,1,79.0,4.0,10,3,8,none,0,0,44.0,3.0,10,3,9,none,0,0,43.0,3.0,40,3,10,none,0,1,24.0,2.0,10,3,11,none,0,1,46.0,3.0,0,3,12,none,0,1,67.0,5.0,10,2,689.0,140
5,42.0,male,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,only_none,011,1,none,1,1,27.0,2.0,10,4,2,none,0,1,36.0,3.0,10,4,3,none,0,0,111.0,2.0,10,2,4,none,0,0,21.0,3.0,10,3,5,none,0,1,26.0,3.0,10,4,6,none,0,1,43.0,2.0,30,4,7,none,0,1,33.0,3.0,10,4,8,none,0,0,41.0,3.0,20,4,9,none,0,1,27.0,1.0,40,4,10,none,0,0,21.0,3.0,0,3,11,none,0,1,41.0,3.0,0,3,12,none,0,1,31.0,2.0,20,4,458.0,170
6,20.0,female,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,only_none,000,1,none,0,0,94.0,2.0,10,2,2,none,0,1,65.0,4.0,10,2,3,none,0,0,78.0,3.0,0,2,4,none,0,0,28.0,2.0,10,2,5,none,1,1,29.0,3.0,10,2,6,none,0,1,60.0,2.0,20,2,7,none,0,0,83.0,2.0,20,2,8,none,0,1,43.0,2.0,20,2,9,none,0,1,42.0,1.0,40,2,10,none,0,1,26.0,2.0,10,2,11,none,0,1,49.0,2.0,10,2,12,none,0,0,53.0,4.0,10,2,650.0,170
7,29.0,male,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,only_none,011,1,none,0,1,64.0,2.0,10,4,2,none,0,1,39.0,3.0,0,4,3,none,0,1,32.0,2.0,10,4,4,none,0,1,20.0,3.0,10,4,5,none,0,1,23.0,2.0,10,4,6,none,0,0,64.0,3.0,20,4,7,none,0,1,22.0,3.0,20,4,8,none,1,1,51.0,2.0,20,4,9,none,0,1,46.0,2.0,30,4,10,none,0,1,32.0,4.0,20,4,11,none,0,1,48.0,3.0,0,4,12,none,0,1,26.0,2.0,20,4,467.0,170
8,41.0,female,4.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,only_none,011,1,none,0,1,60.0,3.0,10,5,2,none,0,1,26.0,3.0,10,5,3,none,0,1,86.0,3.0,10,5,4,none,0,1,49.0,4.0,10,5,5,none,0,1,38.0,1.0,10,5,6,none,0,1,41.0,2.0,30,4,7,none,1,0,28.0,3.0,20,4,8,none,0,0,33.0,4.0,0,4,9,none,0,1,26.0,2.0,40,5,10,none,0,1,29.0,3.0,10,5,11,none,0,0,54.0,5.0,10,5,12,none,0,1,23.0,3.0,10,5,493.0,170
9,47.0,male,5.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,only_none,001,1,none,1,0,77.0,2.0,10,2,2,none,0,1,31.0,2.0,10,2,3,none,0,0,62.0,2.0,10,2,4,none,0,1,33.0,3.0,10,3,5,none,0,0,28.0,2.0,10,3,6,none,0,1,53.0,3.0,30,4,7,none,1,0,33.0,5.0,10,2,8,none,0,1,36.0,4.0,20,4,9,none,0,0,24.0,3.0,40,4,10,none,0,1,27.0,2.0,10,4,11,none,0,1,49.0,2.0,10,3,12,none,1,0,26.0,3.0,10,2,479.0,180
