,age,gender,technical affinity,management experience,preTrust,neuroticism,extraversion,openness,agreeableness,conscientiousness,pers_code,step_number1,proactivity1,helpRequest1,suggestionRequest1,duration1,difficulty1,points1,trust1,step_number2,proactivity2,helpRequest2,suggestionRequest2,duration2,difficulty2,points2,trust2,step_number3,proactivity3,helpRequest3,suggestionRequest3,duration3,difficulty3,points3,trust3,step_number4,proactivity4,helpRequest4,suggestionRequest4,duration4,difficulty4,points4,trust4,step_number5,proactivity5,helpRequest5,suggestionRequest5,duration5,difficulty5,points5,trust5,step_number6,proactivity6,helpRequest6,suggestionRequest6,duration6,difficulty6,points6,trust6,step_number7,proactivity7,helpRequest7,suggestionRequest7,duration7,difficulty7,points7,trust7,step_number8,proactivity8,helpRequest8,suggestionRequest8,duration8,difficulty8,points8,trust8,step_number9,proactivity9,helpRequest9,suggestionRequest9,duration9,difficulty9,points9,trust9,step_number10,proactivity10,helpRequest10,suggestionRequest10,duration10,difficulty10,points10,trust10,step_number11,proactivity11,helpRequest11,suggestionRequest11,duration11,difficulty11,points11,trust11,step_number12,proactivity12,helpRequest12,suggestionRequest12,duration12,difficulty12,points12,trust12,#duration,#points
0,38.0,male,4.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,011,1,none,1,1,35.0,1.0,10,4,2,intervention,0,0,43.0,3.0,10,4,3,intervention,0,0,23.0,2.0,10,2,4,intervention,1,0,26.0,2.0,10,2,5,intervention,0,0,33.0,3.0,10,4,6,intervention,0,0,31.0,3.0,30,4,7,none,0,0,25.0,4.0,20,4,8,none,0,1,49.0,1.0,0,4,9,intervention,0,0,30.0,4.0,40,4,10,none,0,1,26.0,3.0,10,4,11,intervention,0,0,27.0,3.0,10,4,12,intervention,0,0,25.0,1.0,10,4,373.0,170
1,52.0,female,5.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,011,1,none,1,1,41.0,3.0,10,4,2,intervention,0,0,56.0,3.0,10,4,3,intervention,0,0,46.0,3.0,10,4,4,intervention,0,0,30.0,2.0,10,2,5,intervention,0,0,29.0,3.0,10,4,6,intervention,0,0,32.0,3.0,30,4,7,none,0,0,36.0,5.0,20,5,8,intervention,0,0,28.0,2.0,20,4,9,none,0,1,31.0,4.0,10,4,10,intervention,0,0,41.0,3.0,10,4,11,intervention,0,0,29.0,2.0,10,4,12,intervention,0,0,40.0,2.0,20,4,439.0,170
2,39.0,female,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,111,1,none,0,1,171.0,1.0,10,4,2,intervention,0,0,41.0,4.0,10,4,3,intervention,0,0,24.0,3.0,10,2,4,intervention,0,0,36.0,4.0,10,4,5,intervention,0,0,24.0,1.0,10,2,6,intervention,0,0,44.0,3.0,30,4,7,none,0,1,31.0,3.0,20,4,8,none,0,1,27.0,4.0,20,4,9,none,0,0,54.0,1.0,30,4,10,none,0,1,51.0,1.0,10,4,11,intervention,0,0,22.0,3.0,10,4,12,intervention,0,0,20.0,2.0,20,4,545.0,190
3,45.0,female,4.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,011,1,none,0,1,46.0,2.0,10,5,2,intervention,0,0,24.0,4.0,10,4,3,intervention,0,0,36.0,2.0,10,4,4,intervention,0,0,25.0,3.0,10,4,5,intervention,0,0,33.0,4.0,10,4,6,intervention,0,0,37.0,3.0,20,4,7,none,0,1,24.0,2.0,30,5,8,none,0,0,30.0,3.0,20,4,9,none,0,1,37.0,2.0,30,5,10,none,0,0,21.0,3.0,10,4,11,intervention,0,0,31.0,1.0,10,4,12,intervention,0,0,37.0,1.0,20,4,381.0,190
4,33.0,male,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,101,1,none,0,0,72.0,4.0,10,3,2,intervention,0,0,22.0,3.0,10,4,3,intervention,0,0,29.0,2.0,10,2,4,intervention,0,0,23.0,2.0,10,2,5,intervention,0,0,42.0,1.0,10,2,6,intervention,0,0,36.0,4.0,30,2,7,none,0,1,43.0,3.0,20,4,8,intervention,0,0,35.0,3.0,20,4,9,intervention,0,0,23.0,4.0,30,4,10,none,0,0,25.0,4.0,10,4,11,intervention,0,0,24.0,3.0,10,4,12,intervention,0,0,32.0,3.0,20,4,406.0,190
5,47.0,female,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,101,1,none,0,0,109.0,3.0,10,4,2,intervention,0,0,39.0,2.0,10,2,3,intervention,0,0,42.0,3.0,10,2,4,intervention,0,0,37.0,2.0,10,2,5,intervention,0,0,41.0,2.0,10,2,6,intervention,0,0,36.0,3.0,30,2,7,none,0,1,53.0,1.0,20,2,8,intervention,0,0,22.0,2.0,20,2,9,none,0,1,33.0,3.0,40,4,10,none,0,1,30.0,2.0,10,4,11,intervention,0,0,26.0,4.0,10,4,12,intervention,0,0,29.0,4.0,20,4,497.0,200
6,19.0,female,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,001,1,none,0,1,120.0,3.0,10,2,2,intervention,0,0,36.0,2.0,10,2,3,intervention,0,0,30.0,2.0,10,2,4,intervention,0,0,31.0,2.0,10,2,5,intervention,0,0,34.0,1.0,10,2,6,intervention,0,0,29.0,3.0,30,2,7,none,0,0,31.0,4.0,10,2,8,intervention,0,0,27.0,4.0,20,2,9,none,0,0,26.0,3.0,40,3,10,none,0,1,32.0,4.0,0,2,11,intervention,0,0,24.0,2.0,10,2,12,intervention,0,0,21.0,2.0,20,2,441.0,180
7,59.0,male,4.0,2.0,4.0,1.0,3.0,5.0,5.0,2.0,011,1,none,1,1,51.0,1.0,10,2,2,intervention,0,0,51.0,3.0,10,2,3,intervention,0,0,34.0,1.0,10,2,4,intervention,0,0,41.0,4.0,10,2,5,intervention,0,0,33.0,2.0,10,2,6,intervention,0,0,40.0,3.0,20,2,7,none,0,1,23.0,2.0,20,2,8,none,0,1,39.0,2.0,0,2,9,intervention,0,0,29.0,3.0,40,2,10,none,0,1,23.0,4.0,10,2,11,intervention,0,0,26.0,2.0,10,2,12,intervention,0,0,45.0,3.0,20,2,435.0,170
8,33.0,male,3.0,2.0,3.0,5.0,2.0,2.0,3.0,4.0,000,1,none,0,0,66.0,2.0,10,3,2,intervention,0,0,20.0,2.0,10,2,3,intervention,0,0,21.0,3.0,10,2,4,intervention,0,0,36.0,2.0,10,2,5,intervention,0,0,51.0,3.0,10,2,6,intervention,0,0,39.0,4.0,30,2,7,none,0,1,67.0,4.0,20,2,8,intervention,0,0,34.0,3.0,20,2,9,none,0,0,29.0,2.0,10,2,10,intervention,0,0,44.0,3.0,10,2,11,intervention,0,0,26.0,3.0,10,2,12,intervention,0,0,30.0,2.0,20,2,463.0,170
9,44.0,male,4.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,001,1,none,0,1,50.0,3.0,10,1,2,intervention,0,0,53.0,4.0,10,2,3,intervention,0,0,23.0,1.0,10,2,4,intervention,0,0,66.0,2.0,10,2,5,intervention,0,0,21.0,3.0,10,2,6,intervention,0,0,27.0,3.0,20,2,7,none,0,1,44.0,3.0,0,2,8,intervention,0,0,29.0,3.0,10,2,9,intervention,0,0,49.0,2.0,30,2,10,none,0,1,29.0,2.0,10,2,11,intervention,0,0,41.0,2.0,10,2,12,intervention,0,0,47.0,1.0,20,2,479.0,150
10,25.0,female,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,011,1,none,0,0,30.0,3.0,10,4,2,intervention,0,0,32.0,1.0,10,2,3,intervention,0,0,44.0,3.0,10,4,4,intervention,0,0,27.0,1.0,10,2,5,intervention,0,0,21.0,3.0,10,4,6,intervention,0,0,40.0,3.0,30,4,7,none,0,1,28.0,3.0,20,4,8,none,0,1,28.0,2.0,20,4,9,none,0,1,48.0,3.0,40,4,10,none,0,1,30.0,3.0,10,4,11,intervention,0,0,30.0,2.0,10,4,12,intervention,0,0,45.0,3.0,10,4,403.0,190
11,36.0,female,4.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,001,1,none,1,0,43.0,2.0,10,3,2,intervention,0,0,41.0,4.0,10,3,3,intervention,0,0,33.0,2.0,10,2,4,intervention,0,0,39.0,3.0,10,2,5,intervention,0,0,44.0,2.0,10,2,6,intervention,0,0,33.0,2.0,20,2,7,none,0,0,38.0,3.0,20,3,8,none,0,0,56.0,4.0,0,2,9,intervention,0,0,42.0,2.0,20,2,10,intervention,0,0,22.0,3.0,10,2,11,intervention,0,0,33.0,3.0,10,2,12,intervention,0,0,21.0,2.0,20,2,445.0,150
12,36.0,female,5.0,1.0,5.0,2.0,5.0,4.0,4.0,5.0,011,1,none,1,0,83.0,2.0,10,4,2,intervention,0,0,67.0,3.0,10,4,3,intervention,0,0,39.0,2.0,10,4,4,intervention,0,0,36.0,2.0,10,4,5,intervention,0,0,34.0,2.0,10,4,6,intervention,0,0,38.0,3.0,30,4,7,none,0,1,44.0,3.0,20,4,8,intervention,0,0,32.0,2.0,10,4,9,intervention,0,0,42.0,3.0,30,4,10,none,0,1,28.0,3.0,0,4,11,intervention,0,0,20.0,3.0,10,4,12,intervention,0,0,34.0,1.0,10,4,497.0,160
13,41.0,female,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,100,1,none,0,1,44.0,2.0,10,3,2,intervention,0,0,30.0,4.0,10,3,3,intervention,0,0,23.0,1.0,10,2,4,intervention,0,0,74.0,3.0,10,2,5,intervention,0,0,21.0,2.0,10,2,6,intervention,0,0,41.0,3.0,20,2,7,none,0,0,21.0,2.0,30,3,8,none,0,1,45.0,3.0,20,4,9,intervention,0,0,59.0,3.0,40,4,10,none,0,1,27.0,3.0,10,2,11,intervention,0,0,21.0,2.0,10,2,12,intervention,0,0,38.0,3.0,20,3,444.0,200
14,39.0,male,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,001,1,none,1,0,29.0,3.0,10,3,2,intervention,0,0,70.0,2.0,10,2,3,intervention,0,0,42.0,3.0,10,2,4,intervention,0,0,49.0,2.0,10,2,5,intervention,0,0,24.0,2.0,10,2,6,intervention,0,0,38.0,4.0,20,2,7,none,0,0,21.0,3.0,20,3,8,none,0,1,31.0,4.0,10,4,9,intervention,0,0,42.0,3.0,40,4,10,none,1,0,31.0,2.0,10,2,11,intervention,0,0,33.0,3.0,10,2,12,intervention,0,0,24.0,3.0,20,3,434.0,180
15,29.0,male,5.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,111,1,none,0,1,87.0,2.0,10,4,2,intervention,0,0,48.0,3.0,10,2,3,intervention,0,0,34.0,2.0,10,2,4,intervention,0,0,33.0,2.0,10,2,5,intervention,0,0,44.0,2.0,10,2,6,intervention,0,0,29.0,2.0,30,2,7,none,0,0,32.0,3.0,10,2,8,intervention,0,0,27.0,2.0,10,2,9,intervention,0,0,31.0,2.0,20,2,10,none,0,1,30.0,4.0,10,4,11,intervention,0,0,36.0,2.0,10,2,12,intervention,0,0,22.0,3.0,20,4,453.0,160
16,34.0,male,5.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,011,1,none,0,0,32.0,3.0,10,4,2,intervention,0,0,42.0,2.0,10,4,3,intervention,0,0,41.0,3.0,10,4,4,intervention,0,0,32.0,3.0,10,4,5,intervention,0,0,21.0,3.0,10,4,6,intervention,0,0,40.0,2.0,30,4,7,none,0,1,36.0,3.0,20,4,8,none,0,0,22.0,3.0,10,4,9,intervention,0,0,45.0,2.0,20,4,10,intervention,0,0,34.0,3.0,10,4,11,intervention,0,0,25.0,2.0,10,4,12,intervention,0,0,23.0,4.0,20,4,393.0,170
17,34.0,male,4.0,4.0,4.0,1.0,2.0,4.0,2.0,5.0,111,1,none,0,1,98.0,1.0,10,3,2,intervention,0,0,25.0,2.0,10,2,3,intervention,0,0,37.0,2.0,10,2,4,intervention,1,0,42.0,3.0,10,2,5,intervention,0,0,41.0,3.0,10,2,6,intervention,0,0,38.0,2.0,20,2,7,none,0,1,41.0,2.0,20,2,8,none,0,1,36.0,2.0,20,2,9,none,0,0,45.0,3.0,40,4,10,none,0,0,21.0,1.0,10,2,11,intervention,0,0,46.0,2.0,10,2,12,intervention,0,0,20.0,1.0,20,2,490.0,190
18,28.0,male,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,111,1,none,0,0,29.0,1.0,10,4,2,intervention,0,0,28.0,3.0,10,4,3,intervention,0,0,23.0,2.0,10,2,4,intervention,0,0,42.0,2.0,10,2,5,intervention,0,0,46.0,2.0,10,2,6,intervention,0,0,34.0,4.0,20,2,7,none,0,1,24.0,3.0,20,4,8,none,0,0,28.0,3.0,10,4,9,intervention,0,0,43.0,1.0,20,2,10,intervention,0,0,28.0,3.0,10,2,11,intervention,0,0,42.0,2.0,10,2,12,intervention,0,0,22.0,2.0,20,2,389.0,160
