,age,gender,technical affinity,management experience,preTrust,neuroticism,extraversion,openness,agreeableness,conscientiousness,pers_code,step_number1,proactivity1,helpRequest1,suggestionRequest1,duration1,difficulty1,points1,trust1,step_number2,proactivity2,helpRequest2,suggestionRequest2,duration2,difficulty2,points2,trust2,step_number3,proactivity3,helpRequest3,suggestionRequest3,duration3,difficulty3,points3,trust3,step_number4,proactivity4,helpRequest4,suggestionRequest4,duration4,difficulty4,points4,trust4,step_number5,proactivity5,helpRequest5,suggestionRequest5,duration5,difficulty5,points5,trust5,step_number6,proactivity6,helpRequest6,suggestionRequest6,duration6,difficulty6,points6,trust6,step_number7,proactivity7,helpRequest7,suggestionRequest7,duration7,difficulty7,points7,trust7,step_number8,proactivity8,helpRequest8,suggestionRequest8,duration8,difficulty8,points8,trust8,step_number9,proactivity9,helpRequest9,suggestionRequest9,duration9,difficulty9,points9,trust9,step_number10,proactivity10,helpRequest10,suggestionRequest10,duration10,difficulty10,points10,trust10,step_number11,proactivity11,helpRequest11,suggestionRequest11,duration11,difficulty11,points11,trust11,step_number12,proactivity12,helpRequest12,suggestionRequest12,duration12,difficulty12,points12,trust12,#duration,#points
0,31.0,female,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,010,1,suggestion,0,0,33.0,2.0,10,4,2,notification,0,0,66.0,4.0,10,2,3,intervention,0,0,47.0,2.0,10,2,4,intervention,0,0,41.0,3.0,10,2,5,none,0,0,26.0,4.0,0,3,6,intervention,0,0,44.0,4.0,30,2,7,intervention,0,0,29.0,2.0,30,2,8,intervention,0,0,33.0,2.0,20,2,9,none,1,1,36.0,2.0,40,2,10,intervention,0,0,26.0,4.0,10,2,11,intervention,0,0,23.0,2.0,10,2,12,intervention,0,0,47.0,3.0,20,2,451.0,200
1,46.0,female,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,111,1,suggestion,1,0,50.0,3.0,10,4,2,notification,0,0,39.0,2.0,10,4,3,suggestion,0,0,41.0,1.0,10,4,4,suggestion,0,0,66.0,3.0,0,3,5,intervention,0,0,42.0,3.0,10,4,6,notification,0,0,31.0,2.0,20,4,7,none,0,1,39.0,3.0,10,5,8,intervention,0,0,25.0,5.0,20,5,9,suggestion,0,0,24.0,4.0,40,5,10,none,0,1,33.0,2.0,10,5,11,suggestion,0,0,24.0,2.0,0,4,12,intervention,0,0,20.0,1.0,20,4,434.0,160
2,28.0,female,4.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,001,1,notification,0,0,73.0,3.0,10,3,2,notification,0,0,76.0,3.0,10,3,3,notification,0,0,54.0,1.0,10,3,4,none,0,0,24.0,2.0,0,3,5,intervention,0,0,35.0,2.0,10,3,6,intervention,0,0,32.0,3.0,30,3,7,intervention,0,0,35.0,2.0,20,2,8,intervention,0,0,22.0,2.0,20,3,9,none,0,0,32.0,2.0,40,3,10,none,0,1,38.0,4.0,10,3,11,intervention,0,0,25.0,4.0,10,2,12,intervention,0,0,35.0,3.0,10,2,481.0,180
3,46.0,male,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,011,1,suggestion,0,0,43.0,1.0,10,4,2,notification,0,0,48.0,3.0,0,3,3,notification,0,0,34.0,3.0,10,3,4,none,0,1,28.0,4.0,0,3,5,intervention,0,0,26.0,1.0,10,4,6,intervention,0,0,29.0,2.0,20,4,7,none,0,1,20.0,4.0,20,4,8,intervention,0,0,28.0,2.0,20,4,9,suggestion,0,0,35.0,4.0,30,4,10,none,0,0,21.0,3.0,0,4,11,intervention,0,0,32.0,3.0,10,4,12,intervention,0,0,21.0,2.0,10,4,365.0,140
4,29.0,male,4.0,2.0,5.0,1.0,5.0,5.0,3.0,4.0,011,1,suggestion,0,0,29.0,2.0,10,4,2,notification,0,0,46.0,3.0,10,4,3,suggestion,0,0,50.0,4.0,10,4,4,suggestion,0,0,40.0,3.0,10,4,5,intervention,0,0,30.0,3.0,10,4,6,intervention,0,0,21.0,3.0,20,4,7,intervention,0,0,30.0,3.0,20,4,8,intervention,0,0,34.0,4.0,20,5,9,suggestion,0,0,25.0,3.0,30,4,10,none,0,1,29.0,3.0,10,4,11,intervention,0,0,29.0,2.0,10,4,12,intervention,0,0,39.0,3.0,10,4,402.0,170
5,37.0,male,4.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,001,1,notification,0,0,89.0,4.0,10,3,2,notification,0,0,22.0,2.0,10,3,3,notification,0,0,57.0,2.0,10,3,4,none,1,0,29.0,3.0,0,3,5,intervention,0,0,46.0,3.0,10,3,6,intervention,0,0,44.0,2.0,20,3,7,none,0,0,33.0,3.0,20,3,8,intervention,0,0,29.0,4.0,20,3,9,none,0,1,27.0,3.0,40,4,10,none,0,1,28.0,5.0,10,3,11,intervention,0,0,24.0,2.0,10,3,12,intervention,0,0,29.0,3.0,20,3,457.0,180
6,38.0,female,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,011,1,suggestion,0,0,44.0,3.0,10,4,2,notification,0,0,41.0,2.0,10,3,3,notification,0,0,25.0,3.0,10,3,4,none,0,1,35.0,4.0,0,2,5,intervention,0,0,26.0,2.0,10,2,6,notification,0,0,34.0,4.0,30,3,7,none,0,1,20.0,2.0,20,3,8,intervention,0,0,39.0,3.0,20,4,9,suggestion,0,0,32.0,2.0,20,4,10,none,0,1,24.0,3.0,0,2,11,intervention,0,0,33.0,2.0,10,2,12,intervention,0,0,23.0,2.0,20,2,376.0,160
7,42.0,male,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,001,1,notification,0,0,61.0,2.0,10,3,2,notification,0,0,48.0,4.0,0,3,3,notification,0,0,91.0,2.0,10,2,4,intervention,0,0,28.0,3.0,10,2,5,intervention,1,0,55.0,3.0,10,2,6,notification,0,0,42.0,2.0,20,3,7,none,0,1,26.0,2.0,20,3,8,intervention,0,0,27.0,2.0,20,3,9,none,0,1,25.0,3.0,30,4,10,none,0,0,27.0,2.0,0,3,11,intervention,0,0,31.0,2.0,10,3,12,intervention,0,0,28.0,2.0,20,3,489.0,160
8,36.0,male,5.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0,101,1,notification,0,0,47.0,3.0,10,3,2,notification,0,0,58.0,2.0,0,3,3,notification,0,0,48.0,2.0,10,3,4,none,0,0,56.0,3.0,10,2,5,none,0,1,29.0,2.0,10,3,6,intervention,0,0,25.0,2.0,30,3,7,intervention,0,0,20.0,2.0,20,3,8,intervention,0,0,31.0,3.0,20,3,9,none,0,0,54.0,3.0,30,4,10,none,0,0,31.0,3.0,10,3,11,intervention,0,0,26.0,4.0,10,4,12,intervention,0,0,35.0,3.0,20,4,460.0,180
9,38.0,male,4.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,101,1,notification,0,0,48.0,2.0,10,3,2,notification,0,0,36.0,3.0,10,3,3,notification,0,0,70.0,1.0,0,2,4,none,0,1,68.0,3.0,10,3,5,intervention,0,0,37.0,2.0,10,2,6,intervention,0,0,45.0,2.0,30,3,7,none,0,1,36.0,2.0,20,3,8,intervention,0,0,34.0,3.0,10,3,9,none,0,1,50.0,3.0,30,3,10,none,0,0,31.0,3.0,10,3,11,intervention,0,0,56.0,4.0,10,2,12,intervention,0,0,42.0,3.0,10,2,553.0,160
