# {"t_start": 1640019909.3120096, "env_id": null}
r,l,t

-30,11,0.286968

-10,11,0.430824

300,11,0.552822

10,11,0.676819

200,11,0.798816

250,11,0.929812

-30,11,1.057809

290,11,1.183806

130,11,1.310803

140,11,1.439799

270,11,1.568795

160,11,1.689791

-30,11,1.814787

200,11,1.940786

230,11,2.06378

150,11,2.190779

60,11,2.312773

120,11,2.43577

270,11,2.556769

280,11,2.677766

10,11,2.802761

140,11,2.926758

290,11,3.048756

300,11,3.171751

270,11,3.293748

220,11,3.420745

200,11,3.540743

220,11,3.66174

90,11,3.784737

130,11,3.906734

230,11,4.03273

30,11,4.155727

140,11,4.279723

210,11,4.402718

220,11,4.524717

20,11,4.650714

110,11,4.77371

290,11,4.894707

190,11,5.019279

160,11,5.141275

220,11,5.267272

130,11,5.389269

180,11,5.515265

130,11,5.640262

60,11,5.761259

260,11,11.589816

220,11,11.710813

180,11,11.831809

290,11,11.952805

120,11,12.074803

60,11,12.2028

90,11,12.324795

230,11,12.448793

90,11,12.57079

100,11,12.694787

-10,11,12.819783

290,11,12.941778

230,11,13.065777

100,11,13.187773

140,11,13.31077

60,11,13.437767

190,11,13.559762

220,11,13.680759

240,11,13.803755

120,11,13.924752

190,11,14.049748

240,11,14.171746

250,11,14.296744

150,11,14.419741

20,11,14.540736

260,11,14.666734

190,11,14.789731

80,11,14.914726

340,11,15.038723

60,11,15.159721

170,11,15.285718

180,11,15.408714

200,11,15.53071

300,11,15.652708

320,11,15.822703

180,11,15.9487

130,11,16.071697

190,11,16.194692

330,11,16.316689

220,11,16.438687

240,11,16.563682

180,11,16.685679

150,11,16.807677

230,11,16.930672

110,11,17.053671

40,11,22.871135

80,11,22.995133

240,11,23.11713

310,11,23.239127

80,11,23.363124

210,11,23.49412

150,11,23.622115

190,11,23.79411

220,11,23.917109

170,11,24.038104

140,11,24.164102

200,11,24.285097

-10,11,24.409094

130,11,24.532092

90,11,24.656089

140,11,24.782086

170,11,24.908081

350,11,25.033077

240,11,25.157076

230,11,25.280071

210,11,25.407069

220,11,25.529066

70,11,25.652063

290,11,25.77406

120,11,25.896056

150,11,26.025053

150,11,26.150049

140,11,26.272046

430,11,26.394043

140,11,26.51804

210,11,26.646036

290,11,26.769033

280,11,26.89203

120,11,27.015027

170,11,27.138023

160,11,27.265018

80,11,27.388016

20,11,27.513012

140,11,27.63701

450,11,27.759007

310,11,27.888004

110,11,28.012

20,11,28.135997

140,11,28.258994

130,11,28.38199

60,11,28.509985

130,11,34.353788

40,11,34.477784

110,11,34.600783

130,11,34.722778

90,11,34.847775

130,11,34.971771

80,11,35.095767

190,11,35.218765

350,11,35.341761

140,11,35.468758

160,11,35.592757

350,11,35.714753

160,11,35.837749

110,11,35.959745

210,11,36.086744

50,11,36.209739

250,11,36.332735

210,11,36.454734

20,11,36.578729

280,11,36.705726

240,11,36.827722

350,11,36.950721

90,11,37.073716

340,11,37.198714

50,11,37.325711

180,11,37.499704

190,11,37.622701

30,11,37.745698

300,11,37.869696

-70,11,37.995692

-10,11,38.118688

130,11,38.240684

130,11,38.364681

70,11,38.48668

140,11,38.613677

200,11,38.737672

190,11,38.860669

90,11,38.982665

10,11,39.104662

140,11,39.233659

190,11,39.356655

70,11,39.479652

120,11,39.60065

180,11,39.724645

180,11,39.851642

20,11,45.655823

50,11,45.778818

10,11,45.901814

170,11,46.022811

180,11,46.149808

130,11,46.273806

230,11,46.396801

50,11,46.5188

240,11,46.641797

240,11,46.768793

270,11,46.891788

50,11,47.013785

220,11,47.135783

70,11,47.259778

110,11,47.387775

380,11,47.511772

330,11,47.63377

400,11,47.756765

410,11,47.882763

220,11,48.008759

120,11,48.130757

140,11,48.254754

110,11,48.37775

80,11,48.501747

60,11,48.627744

160,11,48.751741

250,11,48.872737

170,11,48.995734

210,11,49.119731

70,11,49.247725

150,11,49.371722

90,11,49.494719

320,11,49.616716

170,11,49.739714

220,11,49.868709

40,11,49.990706

50,11,50.113703

70,11,50.237699

130,11,50.360696

170,11,50.489693

210,11,50.610689

130,11,50.735686

130,11,50.858683

330,11,50.98068

50,11,51.107676

200,11,51.229673

260,11,57.407509

130,11,57.567505

80,11,57.7885

160,11,57.933495

160,11,58.057494

230,11,58.184489

20,11,58.312485

430,11,58.468481

170,11,58.600479

100,11,58.853473

110,11,59.445457

130,11,59.848445

220,11,60.016441

50,11,60.41543

170,11,60.675423

260,11,60.857418

330,11,61.20741

-120,11,61.463403

120,11,61.623399

-20,11,61.769393

90,11,61.903392

290,11,62.031387

180,11,62.160383

190,11,62.307379

300,11,62.442378

90,11,62.589375

50,11,62.738369

190,11,62.880365

110,11,63.067361

220,11,63.208357

100,11,63.349352

370,11,63.488348

80,11,63.612345

-20,11,63.741343

260,11,63.86634

100,11,63.991335

240,11,64.117331

300,11,64.242328

40,11,64.368325

