#{"t_start": 1640125271.1636727, "env_id": null}
r,l,t
-10,12,1.683397
10,12,1.820393
190,12,1.95939
-50,12,2.096388
110,12,2.232384
220,12,2.374379
150,12,2.508377
250,12,2.648373
300,12,2.781368
150,12,2.912366
130,12,3.055361
160,12,3.188359
50,12,3.325353
310,12,3.46235
100,12,3.595348
260,12,3.733342
-10,12,3.864339
300,12,4.001335
250,12,4.133332
170,12,4.267328
-30,12,4.408325
-90,12,4.540323
-20,12,4.678319
310,12,4.810314
220,12,4.944311
150,12,5.084307
190,12,5.218303
330,12,5.3553
220,12,5.488296
200,12,5.620293
140,12,5.760291
300,12,5.895285
250,12,6.034282
50,12,6.167278
-10,12,6.299276
310,12,6.437271
250,12,6.569269
80,12,6.707264
170,12,6.840595
170,12,6.972592
160,12,7.112588
280,12,13.58879
80,12,13.728786
180,12,13.862783
260,12,13.998779
250,12,14.137774
-20,12,14.27177
120,12,14.408769
210,12,14.544763
140,12,14.678761
170,12,14.816757
270,12,15.001753
140,12,15.139749
320,12,15.276746
200,12,15.410742
380,12,15.548738
130,12,15.683734
120,12,15.821731
170,12,15.956727
230,12,16.090724
170,12,16.229718
370,12,16.363717
160,12,16.501713
240,12,16.635709
20,12,16.770706
200,12,16.9077
90,12,17.041699
370,12,17.205692
150,12,17.354691
360,12,17.499686
150,12,17.647681
40,12,17.794677
230,12,17.943673
490,12,18.090669
70,12,18.236665
150,12,18.388661
110,12,18.533658
150,12,18.683654
160,12,18.83165
400,12,18.978646
120,12,19.125643
80,12,19.269639
270,12,19.419634
50,12,27.10043
420,12,27.406422
60,12,27.571419
110,12,27.728414
190,12,27.883411
140,12,28.035406
240,12,28.187403
100,12,28.345399
160,12,28.497394
120,12,28.658389
310,12,28.813385
120,12,28.957382
240,12,29.103377
220,12,29.251373
140,12,29.403369
290,12,29.560365
420,12,29.713361
230,12,29.872358
150,12,30.021353
80,12,30.17635
130,12,30.332344
200,12,30.487341
220,12,30.659336
200,12,30.818331
350,12,31.059325
70,12,31.216322
100,12,31.362319
130,12,31.508315
210,12,31.651311
140,12,31.804308
130,12,31.950303
120,12,32.092298
200,12,32.239295
300,12,32.382292
130,12,32.529287
200,12,32.673284
180,12,32.818279
-40,12,32.966276
50,12,33.109272
210,12,33.256269
0,12,33.400263
170,12,33.542261
200,12,40.349081
50,12,40.493077
200,12,40.641071
130,12,40.785069
290,12,40.927065
50,12,41.074061
190,12,41.218057
160,12,41.364052
130,12,41.50505
240,12,41.649046
200,12,41.796042
140,12,41.939037
170,12,42.089033
120,12,42.232029
300,12,42.374027
150,12,42.522021
220,12,42.665018
-10,12,42.813015
70,12,42.957011
100,12,43.100006
180,12,43.247004
140,12,43.390998
270,12,43.538996
320,12,43.684992
100,12,43.828988
170,12,43.976984
160,12,44.11998
160,12,44.267975
240,12,44.414973
20,12,44.613967
120,12,44.762962
70,12,44.904958
240,12,45.052956
260,12,45.195952
100,12,45.337947
120,12,45.485944
150,12,45.629939
140,12,45.776937
50,12,45.920933
270,12,46.063927
70,12,46.210925
380,12,52.975745
200,12,53.123742
100,12,53.267738
500,12,53.410734
100,12,53.55873
60,12,53.714724
250,12,53.88072
110,12,54.025716
120,12,54.169714
210,12,54.31871
170,12,54.459704
190,12,54.606701
150,12,54.750697
240,12,54.895693
200,12,55.042689
110,12,55.186687
220,12,55.333683
170,12,55.474679
120,12,55.618675
190,12,55.771671
310,12,55.916666
250,12,56.063663
110,12,56.20666
220,12,56.350656
70,12,56.499652
220,12,56.643648
330,12,56.791644
80,12,56.93364
340,12,57.077636
230,12,57.226633
60,12,57.371629
160,12,57.520625
190,12,57.66362
400,12,57.808615
210,12,57.958611
160,12,58.104607
170,12,58.255603
420,12,58.401599
90,12,58.547596
150,12,58.699591
340,12,58.845587
210,12,58.997583
290,12,65.854404
130,12,65.9974
130,12,66.145396
250,12,66.28839
260,12,66.437387
360,12,66.580384
130,12,66.722381
190,12,66.870375
120,12,67.013373
220,12,67.161369
90,12,67.305365
210,12,67.44836
30,12,67.595358
280,12,67.738354
240,12,67.885348
200,12,68.027344
130,12,68.170341
40,12,68.318337
140,12,68.461335
210,12,68.609329
250,12,68.753327
120,12,68.896323
340,12,69.043318
210,12,69.187315
240,12,69.335311
20,12,69.478308
190,12,69.621302
190,12,69.7703
340,12,69.913295
190,12,70.061292
130,12,70.205287
110,12,70.352285
380,12,70.500279
80,12,70.643277
150,12,70.792272
340,12,70.935268
-30,12,71.079265
70,12,71.227261
30,12,71.370256
130,12,71.519252
190,12,71.662248
160,12,71.805246
270,12,78.592066
120,12,78.73606
220,12,78.884057
240,12,79.028054
190,12,79.17005
110,12,79.319047
220,12,79.464042
160,12,79.611037
160,12,79.753035
400,12,79.897031
190,12,80.046027
210,12,80.189022
10,12,80.33802
190,12,80.482016
330,12,80.625012
210,12,80.774008
230,12,80.918003
350,12,81.065
80,12,81.208997
80,12,81.351991
230,12,81.499987
60,12,81.642985
190,12,81.790981
160,12,81.934976
220,12,82.077973
160,12,82.224968
190,12,82.366964
130,12,82.570959
200,12,82.714955
130,12,82.856953
140,12,83.006949
370,12,83.152946
240,12,83.301941
160,12,83.445935
300,12,83.589933
200,12,83.738928
420,12,83.882926
120,12,84.030922
150,12,84.173918
220,12,84.316912
60,12,84.46491
280,12,91.24773
60,12,91.396725
280,12,91.539722
170,12,91.684719
160,12,91.833715
60,12,91.975709
110,12,92.124705
80,12,92.268701
220,12,92.410699
50,12,92.558694
150,12,92.70169
130,12,92.848686
40,12,92.992684
120,12,93.13568
140,12,93.283674
170,12,93.426672
150,12,93.574668
230,12,93.718664
80,12,93.859659
110,12,94.006657
120,12,94.151652
170,12,94.301647
130,12,94.444644
100,12,94.587641
80,12,94.735636
130,12,94.879632
40,12,95.026628
40,12,95.169625
290,12,95.31462
100,12,95.465616
390,12,95.612613
130,12,95.763608
140,12,95.909604
150,12,96.055601
160,12,96.207597
140,12,96.353592
100,12,96.503589
310,12,96.649585
290,12,96.795581
340,12,96.946579
410,12,97.090574
190,12,97.238571
220,12,104.034389
250,12,104.177387
90,12,104.325382
90,12,104.523378
120,12,104.672374
200,12,104.81437
220,12,104.956365
120,12,105.104361
190,12,105.247359
80,12,105.394354
90,12,105.539351
30,12,105.682346
100,12,105.829344
100,12,105.973338
40,12,106.121334
170,12,106.265331
300,12,106.413327
390,12,106.562324
160,12,106.70532
170,12,106.853316
100,12,106.996313
60,12,107.138307
270,12,107.286305
330,12,107.430301
200,12,107.579295
180,12,107.721293
90,12,107.865288
20,12,108.013284
150,12,108.15728
100,12,108.305278
180,12,108.449272
270,12,108.597268
140,12,108.745266
230,12,108.889262
160,12,109.037258
120,12,109.179255
130,12,109.323249
170,12,109.470245
260,12,109.616241
210,12,109.765239
250,12,109.907234
0,12,110.053231
70,12,116.866051
230,12,117.010047
330,12,117.158041
150,12,117.301039
390,12,117.445034
-10,12,117.594032
190,12,117.737026
130,12,117.885022
250,12,118.03302
170,12,118.177016
260,12,118.326012
30,12,118.468008
200,12,118.617003
270,12,118.758999
300,12,118.902997
80,12,119.050991
270,12,119.195989
-20,12,119.343985
310,12,119.48998
200,12,119.634975
30,12,119.782972
240,12,119.92497
280,12,120.074965
230,12,120.217962
260,12,120.360958
140,12,120.508952
200,12,120.652951
150,12,120.800946
-70,12,120.944941
130,12,121.093937
220,12,121.241933
320,12,121.385929
110,12,121.587924
260,12,121.73092
360,12,121.873918
210,12,122.019912
50,12,122.16491
260,12,122.311906
170,12,122.455902
150,12,122.597899
150,12,122.745895
440,12,129.524713
270,12,129.673711
330,12,129.817707
280,12,129.959702
140,12,130.107698
110,12,130.249696
150,12,130.39769
90,12,130.541688
260,12,130.686684
130,12,130.834678
400,12,130.977675
170,12,131.127671
270,12,131.270669
160,12,131.413665
100,12,131.561661
270,12,131.705657
160,12,131.855653
220,12,131.998649
90,12,132.141644
280,12,132.289642
50,12,132.433636
150,12,132.581632
380,12,132.728628
190,12,132.875624
340,12,133.025619
160,12,133.172616
120,12,133.322612
240,12,133.469608
190,12,133.616604
130,12,133.7676
170,12,133.913596
220,12,134.063592
90,12,134.209589
320,12,134.353587
300,12,134.499583
100,12,134.643579
260,12,134.792575
50,12,134.93757
180,12,135.079567
180,12,135.227564
170,12,135.369558
240,12,135.516554
160,12,142.294376
250,12,142.438371
150,12,142.586369
0,12,142.730365
100,12,142.877359
240,12,143.021357
0,12,143.165353
200,12,143.368348
160,12,143.511344
250,12,143.66034
210,12,143.804336
150,12,143.949332
160,12,144.096327
150,12,144.240324
520,12,144.387319
200,12,144.530317
260,12,144.674313
240,12,144.823309
110,12,144.966305
330,12,145.1143
270,12,145.257298
230,12,145.399294
290,12,145.55329
90,12,145.698284
180,12,145.84628
330,12,145.989277
370,12,146.136273
250,12,146.284271
230,12,146.428266
20,12,146.576261
120,12,146.718259
400,12,146.862255
130,12,147.011251
230,12,147.155245
90,12,147.303243
100,12,147.44524
100,12,147.588234
240,12,147.736232
340,12,147.878228
440,12,148.025224
130,12,148.17022
160,12,148.315215
190,12,155.114036
160,12,155.259032
170,12,155.407027
240,12,155.550025
230,12,155.695021
200,12,155.844017
220,12,155.988012
180,12,156.135007
100,12,156.280005
180,12,156.425002
200,12,156.571995
250,12,156.715993
120,12,156.86699
230,12,157.009986
150,12,157.15498
170,12,157.302978
200,12,157.445974
260,12,157.594969
270,12,157.740966
130,12,157.884963
250,12,158.034959
90,12,158.179955
320,12,158.328951
240,12,158.473945
90,12,158.617941
160,12,158.767938
170,12,158.911934
150,12,159.05893
0,12,159.257926
290,12,159.400922
0,12,159.549919
240,12,159.693914
20,12,159.842911
100,12,159.986907
180,12,160.129903
130,12,160.278899
50,12,160.422895
180,12,160.570891
140,12,160.713888
310,12,160.857884
150,12,161.004878
140,12,167.801698
190,12,167.953695
300,12,168.09969
240,12,168.242686
160,12,168.390684
320,12,168.53368
330,12,168.680675
130,12,168.824671
350,12,168.969668
100,12,169.116664
80,12,169.260659
130,12,169.408657
130,12,169.553651
370,12,169.698647
130,12,169.845645
90,12,169.993639
290,12,170.144635
100,12,170.290632
90,12,170.436627
110,12,170.586623
260,12,170.73362
210,12,170.883616
150,12,171.030612
320,12,171.176608
260,12,171.327604
