#{"t_start": 1642537109.1622238, "env_id": null}
r,l,t
90,12,0.167705
20,12,0.284445
100,12,0.405209
80,12,0.526494
-30,12,0.645609
35,12,0.767338
70,12,0.891025
95,12,1.038053
200,12,1.157129
25,12,1.277282
0,12,1.422012
120,12,1.542384
-30,12,1.659754
125,12,1.775445
95,12,1.920923
170,12,2.060033
-30,12,2.214266
25,12,2.363223
60,12,2.520184
-35,12,2.642953
55,12,2.766643
-30,12,2.903808
-40,12,3.038797
-65,12,3.177541
35,12,3.305947
65,12,3.447301
50,12,3.584088
65,12,3.722767
120,12,3.847125
325,12,3.977894
70,12,4.12866
260,12,4.257345
180,12,4.379759
165,12,4.510213
90,12,4.65327
-15,12,4.769952
55,12,4.907398
-25,12,5.036435
25,12,5.171842
-45,12,5.303577
75,12,5.433277
140,12,13.60769
50,12,13.756135
200,12,13.925825
195,12,14.062908
95,12,14.202315
30,12,14.34338
40,12,14.475784
115,12,14.629915
200,12,14.775973
15,12,14.919304
5,12,15.067327
0,12,15.201808
-30,12,15.337502
-65,12,15.47457
5,12,15.599315
-45,12,15.719704
200,12,15.862819
40,12,16.017889
15,12,16.139156
135,12,16.27202
110,12,16.402028
35,12,16.559794
30,12,16.751176
115,12,16.888947
110,12,17.017382
5,12,17.20513
135,12,17.337136
195,12,17.456577
150,12,17.582559
95,12,17.729101
20,12,17.852095
110,12,17.992495
50,12,18.134947
-20,12,18.267991
35,12,18.404368
65,12,18.556503
45,12,18.699919
10,12,18.85759
100,12,18.984005
90,12,19.115407
160,12,19.250414
80,12,19.398134
20,12,28.871157
120,12,29.019917
-70,12,29.181042
85,12,29.317442
25,12,29.450139
15,12,29.57454
0,12,29.718379
-20,12,29.8747
-5,12,30.016441
25,12,30.156216
10,12,30.305827
70,12,30.450623
-15,12,30.587726
-50,12,30.723421
-50,12,30.959285
-15,12,31.160188
20,12,31.31972
30,12,31.4588
40,12,31.623591
65,12,31.774993
225,12,31.909025
-75,12,32.045369
70,12,32.184591
70,12,32.35879
-15,12,32.705419
60,12,32.866327
-40,12,33.14516
40,12,33.313087
85,12,33.458833
40,12,33.605186
195,12,33.753975
225,12,33.901023
145,12,34.046447
205,12,34.196819
90,12,34.338357
115,12,34.495992
70,12,34.622028
-70,12,34.762111
175,12,34.91247
65,12,35.069227
10,12,35.298083
90,12,35.427481
130,12,47.838071
100,12,48.132901
5,12,48.983412
30,12,49.729982
15,12,50.06279
80,12,50.387606
135,12,50.669443
80,12,51.062214
165,12,51.371037
180,12,51.784798
135,12,52.237538
5,12,52.489393
-10,12,52.869173
-25,12,53.266946
50,12,53.5178
35,12,53.781649
5,12,54.146441
-30,12,54.490241
65,12,54.933985
0,12,55.278786
5,12,55.639579
-35,12,56.050341
50,12,56.381151
125,12,56.717957
50,12,57.085746
95,12,57.410558
110,12,57.78934
-35,12,58.144135
20,12,58.381
-50,12,58.877714
-35,12,59.220518
260,12,59.49236
-30,12,59.801182
-30,12,60.150981
105,12,60.474794
85,12,60.722651
70,12,60.957516
25,12,61.35129
10,12,61.710082
-65,12,61.993921
30,12,62.446658
-30,12,74.543347
30,12,74.827185
230,12,75.014076
-10,12,75.21398
160,12,75.558985
180,12,75.716949
140,12,75.912412
110,12,76.343881
-50,12,76.622714
-15,12,76.837915
-10,12,77.260479
65,12,77.685233
190,12,77.937803
50,12,78.197948
180,12,78.348957
-5,12,78.519969
90,12,78.67816
60,12,78.856536
100,12,79.037963
80,12,79.393533
115,12,79.629641
25,12,79.857056
110,12,80.022824
35,12,80.236832
115,12,80.569745
165,12,80.84159
-25,12,81.198386
80,12,81.441073
-35,12,81.612928
20,12,81.846455
5,12,82.089312
-5,12,82.329177
0,12,82.548049
110,12,82.736817
75,12,82.908562
85,12,83.092041
50,12,83.239363
150,12,83.477315
95,12,83.718189
-100,12,83.907062
60,12,84.062433
-40,12,84.284913
145,12,97.299546
120,12,97.585999
-65,12,97.853385
35,12,98.061123
5,12,98.241935
-30,12,98.556997
25,12,98.839895
15,12,99.077473
80,12,99.291231
240,12,99.511662
-75,12,99.689418
150,12,99.951433
70,12,100.134152
210,12,100.321333
10,12,100.53487
40,12,100.727534
175,12,100.946302
140,12,101.180171
65,12,101.379211
75,12,101.608452
80,12,101.803258
35,12,102.067104
125,12,102.243021
30,12,102.438905
85,12,102.652078
75,12,102.897602
75,12,103.105036
-40,12,103.279464
-35,12,103.453892
60,12,103.747491
195,12,103.954374
90,12,104.162115
175,12,104.421855
70,12,104.631579
70,12,104.869939
250,12,105.131788
25,12,105.397779
145,12,105.685614
135,12,105.908932
-25,12,106.190408
5,12,106.43699
50,12,106.638037
-85,12,118.085609
75,12,118.353818
35,12,118.64266
20,12,118.867104
45,12,119.047093
50,12,119.236731
170,12,119.444218
15,12,119.65072
150,12,119.818624
155,12,120.036306
30,12,120.266816
55,12,120.453637
50,12,120.667
-35,12,120.862935
205,12,121.056201
175,12,121.235052
170,12,121.415961
145,12,121.589688
50,12,121.804565
15,12,122.047775
30,12,122.282638
105,12,122.47199
225,12,122.707067
85,12,122.960754
55,12,123.19462
15,12,123.503693
165,12,123.8145
25,12,124.057359
115,12,124.314212
125,12,124.565084
85,12,124.746868
-85,12,124.978622
5,12,125.138204
40,12,125.369395
45,12,125.587211
170,12,125.806716
-85,12,126.028131
85,12,126.297309
170,12,126.561113
-20,12,126.770007
40,12,126.961764
165,12,137.256682
75,12,137.527526
-35,12,137.770384
25,12,137.959901
180,12,138.150814
-40,12,138.355695
5,12,138.586295
155,12,138.810167
130,12,139.012904
-30,12,139.273753
25,12,139.489649
110,12,139.780444
95,12,139.953624
10,12,140.155199
25,12,140.372676
-45,12,140.676643
150,12,140.931632
-20,12,141.158118
215,12,141.376601
-70,12,141.611458
50,12,141.807097
-20,12,142.021062
140,12,142.222996
120,12,142.394849
25,12,142.584743
-40,12,142.755871
60,12,142.946761
20,12,143.204597
-35,12,143.420281
90,12,143.62475
120,12,143.870801
120,12,144.068669
55,12,144.246295
95,12,144.421872
-55,12,144.626471
-30,12,144.818055
190,12,145.025125
185,12,145.22601
130,12,145.462874
150,12,145.697735
75,12,145.939597
55,12,146.17746
35,12,157.639636
-5,12,157.881088
135,12,158.112972
-15,12,158.363827
0,12,158.70907
-30,12,158.957927
80,12,159.204784
80,12,159.455641
140,12,159.664601
-30,12,159.841737
85,12,160.048121
-5,12,160.290846
170,12,160.568584
100,12,160.904033
20,12,161.114733
-40,12,161.369588
-40,12,161.600712
10,12,161.788166
-10,12,162.043073
120,12,162.233308
125,12,162.45384
230,12,162.873584
80,12,163.136429
-20,12,163.382291
90,12,163.64114
20,12,163.904749
-40,12,164.108635
-60,12,164.299995
-30,12,164.488361
120,12,164.654296
275,12,164.866318
-10,12,165.085639
155,12,165.338385
115,12,165.519117
-50,12,165.697907
150,12,165.905805
220,12,166.158108
130,12,166.35201
-35,12,166.533003
-95,12,166.689377
-25,12,166.894663
140,12,167.086344
35,12,177.574696
0,12,177.811544
75,12,178.015961
-20,12,178.199658
145,12,178.464315
65,12,178.679333
5,12,178.9092
-25,12,179.074295
-85,12,179.362728
65,12,179.564756
0,12,179.816592
25,12,180.002095
60,12,180.185166
165,12,180.480599
65,12,180.684012
-35,12,180.846935
235,12,181.028016
-45,12,181.193921
165,12,181.395822
-25,12,181.607564
155,12,181.811431
80,12,182.019973
-20,12,182.259835
15,12,182.500106
0,12,182.776107
115,12,183.001519
-25,12,183.276839
115,12,183.492713
165,12,183.707569
120,12,183.883984
90,12,184.082933
185,12,184.274823
145,12,184.543669
110,12,184.80052
-90,12,185.045539
55,12,185.276105
120,12,185.509622
50,12,185.736815
135,12,185.986243
55,12,186.477943
85,12,186.911692
30,12,197.672305
45,12,197.865474
160,12,198.086474
85,12,198.31461
40,12,198.531129
20,12,198.723072
75,12,198.925447
145,12,199.20754
80,12,199.440782
45,12,199.678665
30,12,199.868433
-20,12,200.11671
10,12,200.379675
80,12,200.574579
60,12,200.777868
-75,12,200.976705
115,12,201.237035
90,12,201.421095
45,12,201.607986
20,12,201.786547
110,12,201.943187
45,12,202.137318
-30,12,202.321538
90,12,202.477659
145,12,202.654465
215,12,202.99287
-110,12,203.216625
-25,12,203.469944
50,12,203.637847
190,12,203.845467
-85,12,204.064125
75,12,204.274956
55,12,204.569168
265,12,204.817839
45,12,205.021003
75,12,205.223499
-10,12,205.542421
-25,12,205.775283
135,12,205.959179
-20,12,206.147069
10,12,206.331961
145,12,206.622244
-40,12,218.564491
115,12,218.79143
-135,12,218.971789
-25,12,219.165872
-70,12,219.362373
75,12,219.624711
-65,12,219.797523
20,12,220.00974
215,12,220.246604
75,12,220.482468
180,12,220.787242
85,12,221.015444
190,12,221.242167
80,12,221.441671
85,12,221.688529
-65,12,221.926393
85,12,222.162344
100,12,222.345153
55,12,222.563012
180,12,222.793879
-30,12,223.015766
85,12,223.229414
60,12,223.444913
130,12,223.649976
5,12,223.856408
45,12,224.113228
60,12,224.370079
65,12,224.611978
25,12,224.821908
165,12,225.050397
-20,12,225.294771
25,12,225.608016
25,12,225.810641
-10,12,226.021514
25,12,226.464506
100,12,226.859381
65,12,227.146157
80,12,227.381841
160,12,227.63629
-110,12,227.875876
205,12,228.14163
80,12,228.324784
175,12,240.503932
65,12,240.806201
-35,12,241.019285
140,12,241.349232
-100,12,241.96409
105,12,242.180158
80,12,242.381622
175,12,242.616461
120,12,242.795189
130,12,242.985617
125,12,243.15373
-10,12,243.331125
-15,12,243.496867
125,12,243.716718
50,12,244.026172
160,12,244.364061
75,12,244.811637
90,12,246.975375
-55,12,247.468464
35,12,247.842061
35,12,248.090466
105,12,248.35624
120,12,248.577084
-95,12,248.771076
5,12,248.927203
-25,12,249.085151
245,12,249.242725
120,12,249.386101
180,12,249.539166
100,12,249.711672
25,12,249.893697
30,12,250.209533
75,12,250.441586
5,12,250.649455
-50,12,250.836134
65,12,250.990619
180,12,251.147278
90,12,251.356522
-30,12,251.67157
-60,12,251.927176
180,12,252.136398
45,12,260.595954
-20,12,260.737032
5,12,260.910636
95,12,261.06617
-25,12,261.257426
50,12,261.441531
75,12,261.607822
135,12,261.7719
210,12,261.941384
-65,12,262.078647
-15,12,262.408399
205,12,262.735233
20,12,262.973534
25,12,263.128891
215,12,263.304694
85,12,263.460752
25,12,263.640221
50,12,263.781525
35,12,263.998013
55,12,264.22607
105,12,264.39116
-10,12,264.700356
170,12,264.919229
-20,12,265.066174
95,12,265.217729
10,12,265.393259
195,12,265.536399
170,12,265.683848
165,12,265.925032
-15,12,266.07197
10,12,266.215741
115,12,266.442486
50,12,266.605701
50,12,266.759661
65,12,266.919664
95,12,267.056801
150,12,267.210601
-95,12,267.372357
65,12,267.514403
100,12,267.74257
45,12,267.911579
25,12,268.065657
95,12,276.06327
170,12,276.209335
-50,12,276.380103
40,12,276.530106
55,12,276.665543
70,12,276.900081
205,12,277.065406
25,12,277.196835
145,12,277.340888
5,12,277.488998
-30,12,277.638431
150,12,277.792161
135,12,277.946261
65,12,278.095921
120,12,278.253758
15,12,278.406068
135,12,278.557477
80,12,278.716226
135,12,278.889739
50,12,279.049684
185,12,279.189803
50,12,279.328258
130,12,279.476791
85,12,279.633321
90,12,279.774741
55,12,279.92184
185,12,280.085022
75,12,280.25166
75,12,280.395397
15,12,280.544749
15,12,280.71139
140,12,280.867344
-30,12,281.021388
125,12,281.250259
-85,12,281.451123
20,12,281.652258
30,12,281.843151
115,12,282.013531
50,12,282.262972
115,12,282.643753
-95,12,282.895991
-50,12,283.144739
55,12,292.741132
90,12,292.902656
165,12,293.058665
45,12,293.197762
60,12,293.370023
90,12,293.541545
215,12,293.701275
195,12,293.84661
-10,12,294.076509
-10,12,294.225963
25,12,294.378972
100,12,294.526057
105,12,294.690384
65,12,294.850863
125,12,295.000609
15,12,295.151708
70,12,295.327528
50,12,295.468805
175,12,295.602926
85,12,295.758993
45,12,295.917146
70,12,296.070816
250,12,296.225167
125,12,296.367184
75,12,296.53008
20,12,296.690818
135,12,296.838489
125,12,296.988967
75,12,297.168438
145,12,297.319043
120,12,297.46952
40,12,297.621559
0,12,297.774051
95,12,297.933998
185,12,298.083482
-25,12,298.238567
30,12,298.406876
95,12,298.567056
85,12,298.706064
55,12,298.868141
160,12,299.040025
60,12,307.101575
35,12,307.250655
25,12,307.414706
-20,12,307.586628
180,12,307.743332
50,12,307.903329
0,12,308.051405
160,12,308.199493
120,12,308.363236
155,12,308.610601
-25,12,308.903375
-45,12,309.136155
120,12,309.298616
90,12,309.437747
185,12,309.588135
120,12,309.738163
-10,12,309.893599
65,12,310.036689
190,12,310.181741
-70,12,310.335405
20,12,310.494917
175,12,310.630298
-75,12,310.781148
-30,12,310.95136
60,12,311.184974
140,12,311.394143
70,12,311.550421
35,12,311.776634
15,12,311.920913
-35,12,312.065072
40,12,312.211154
140,12,312.361515
75,12,312.508291
-10,12,312.660672
-10,12,312.809439
150,12,312.989922
90,12,313.148868
-65,12,313.297641
45,12,313.436302
5,12,313.604517
90,12,313.760902
-25,12,313.914262
35,12,321.953309
135,12,322.112403
240,12,322.272062
225,12,322.403791
130,12,322.550916
195,12,322.709894
115,12,322.867362
-45,12,323.009446
15,12,323.162513
65,12,323.310058
10,12,323.466671
100,12,323.600309
-60,12,323.738782
160,12,323.889922
135,12,324.044981
65,12,324.208354
135,12,324.350463
155,12,324.501936
-80,12,324.665283
60,12,324.810346
50,12,324.955985
65,12,325.134214
130,12,325.285507
5,12,325.443934
-30,12,325.589983
70,12,325.750168
85,12,325.905181
80,12,326.047592
40,12,326.192653
-10,12,326.347806
80,12,326.50818
-25,12,326.647608
-35,12,326.791304
25,12,327.033486
55,12,327.169514
105,12,327.31455
40,12,327.456002
20,12,327.616767
135,12,327.765786
-85,12,327.963936
-35,12,328.113908
155,12,328.271587
-85,12,336.317364
230,12,336.462805
25,12,336.614495
100,12,336.781074
50,12,336.92635
50,12,337.082706
-35,12,337.225711
60,12,337.382742
120,12,337.530649
175,12,337.671219
40,12,337.806088
75,12,337.960589
75,12,338.122907
105,12,338.267296
100,12,338.413373
-55,12,338.574653
45,12,338.73691
-15,12,338.886629
95,12,339.041651
115,12,339.229463
85,12,339.383236
75,12,339.519252
-65,12,339.66379
180,12,339.804614
-15,12,339.967767
-25,12,340.101188
30,12,340.241879
215,12,340.397765
-10,12,340.54241
80,12,340.686878
160,12,340.843938
-25,12,341.002062
15,12,341.153756
180,12,341.303806
15,12,341.440519
-5,12,341.583224
25,12,341.739999
35,12,341.882069
60,12,342.019846
60,12,342.177389
-20,12,342.32297
50,12,354.723488
60,12,354.948937
150,12,355.169239
40,12,355.427785
55,12,355.705217
-80,12,356.056731
25,12,356.568444
-55,12,356.777112
145,12,356.946839
100,12,357.111261
70,12,357.269034
205,12,357.430786
110,12,357.582819
55,12,357.735929
190,12,357.899045
-50,12,358.068129
5,12,358.221081
50,12,358.377123
70,12,358.540036
-70,12,358.696727
45,12,358.841161
-30,12,359.052771
-15,12,359.24803
45,12,359.507422
135,12,359.654172
165,12,359.849912
135,12,360.055342
210,12,360.244598
130,12,360.450551
125,12,360.64866
105,12,360.857999
140,12,361.050263
75,12,361.242687
80,12,361.449078
-10,12,361.667203
70,12,361.864321
75,12,362.048837
-35,12,362.233919
40,12,362.450918
-40,12,362.603947
180,12,362.757736
155,12,362.903769
90,12,370.943083
-5,12,371.117656
25,12,371.284316
80,12,371.414024
15,12,371.569501
-50,12,371.715467
180,12,371.855547
55,12,372.012292
65,12,372.168422
20,12,372.318116
175,12,372.452522
100,12,372.601586
125,12,372.744026
125,12,372.910767
-55,12,373.041158
75,12,373.199555
180,12,373.353109
-30,12,373.497377
165,12,373.722849
40,12,373.875559
-15,12,374.037245
85,12,374.195018
50,12,374.334791
30,12,374.488178
25,12,374.646189
105,12,374.796003
170,12,374.930416
-40,12,375.084781
-15,12,375.243987
-40,12,375.40399
-35,12,375.536046
95,12,375.670787
15,12,375.829271
110,12,376.000589
65,12,376.1397
210,12,376.279125
5,12,376.416069
105,12,376.588219
120,12,376.741021
150,12,376.895051
50,12,377.039376
20,12,377.211522
-30,12,385.35022
120,12,385.499374
185,12,385.656355
-65,12,385.801499
115,12,385.93587
55,12,386.071275
5,12,386.279738
70,12,386.447734
85,12,386.577192
50,12,386.713567
30,12,386.88236
105,12,387.049077
25,12,387.201801
-35,12,387.336534
25,12,387.473671
20,12,387.646376
-5,12,387.778772
15,12,387.918127
-5,12,388.070306
-125,12,388.227576
-10,12,388.371384
20,12,388.50881
-35,12,388.674889
40,12,388.899006
45,12,389.041363
50,12,389.175086
145,12,389.333799
35,12,389.50666
180,12,389.637311
70,12,389.786324
-20,12,389.941593
0,12,390.10161
55,12,390.236614
20,12,390.384076
-45,12,390.530111
-60,12,390.680501
190,12,390.867196
-55,12,391.136812
40,12,391.353687
-35,12,391.664506
100,12,391.875767
115,12,400.70937
10,12,401.028818
35,12,401.238804
195,12,401.514884
65,12,401.674217
5,12,401.870607
-80,12,402.041824
165,12,402.240892
65,12,402.53447
170,12,402.717096
105,12,402.949909
120,12,403.101035
5,12,403.241349
70,12,403.407559
130,12,403.5716
10,12,403.796748
185,12,403.94409
5,12,404.084467
130,12,404.362305
-30,12,404.501698
50,12,404.648069
100,12,404.841393
-40,12,404.993181
10,12,405.164663
50,12,405.344557
70,12,405.535597
-10,12,405.759669
90,12,405.889715
15,12,406.023156
-90,12,406.17144
140,12,406.37734
65,12,406.52
65,12,406.675055
140,12,406.826653
70,12,406.977535
15,12,407.242848
50,12,407.77463
185,12,407.995111
100,12,408.145827
125,12,408.286838
80,12,408.460706
140,12,408.636088
10,12,417.264765
-5,12,417.465145
165,12,417.633089
130,12,417.810381
40,12,417.967421
70,12,418.119348
185,12,418.27251
165,12,418.504653
95,12,418.643057
20,12,418.799149
20,12,418.957869
-30,12,419.136635
90,12,419.273309
-60,12,419.488274
190,12,419.625835
130,12,419.772901
75,12,419.934965
85,12,420.085675
-15,12,420.221495
-5,12,420.377171
125,12,420.544931
-45,12,420.707686
40,12,420.841114
-15,12,420.989231
35,12,421.149248
90,12,421.292632
105,12,421.434652
80,12,421.589503
115,12,421.748518
15,12,421.881891
55,12,422.035035
-5,12,422.22894
165,12,422.39519
165,12,422.560607
55,12,422.713696
100,12,422.872808
-15,12,423.044067
25,12,423.267997
0,12,423.412041
125,12,423.550506
10,12,423.710174
-120,12,423.848535
80,12,432.241097
110,12,432.420532
25,12,432.579233
130,12,432.739341
80,12,433.043442
85,12,433.228535
-10,12,433.381669
-35,12,433.525065
170,12,433.681713
10,12,433.847227
60,12,434.004535
230,12,434.158295
110,12,434.30298
10,12,434.486887
195,12,434.632631
100,12,434.786702
55,12,434.944746
115,12,435.109213
20,12,435.264925
-5,12,435.419948
190,12,435.580745
10,12,435.748194
55,12,435.92317
-65,12,436.075627
65,12,436.225008
10,12,436.382178
-75,12,436.545549
-60,12,436.701967
-65,12,436.862692
170,12,437.026831
